"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_crpss" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "P_all"
"103.1" 0.0803157792039201 0.0580749866642635 0.056483952145983 0.10572892133427 0.14156909508972 0.317251468912585 0.132412980210402 0.317251468912585 6 0.138401424904371 0.287715088299648 0.305278562404742 0.193681513060027 0.133361634923973 0.000983018221793927 0.0862283467751356 0.000983018221793927
"103.40" 0.0887195145273014 0.0398134532834363 0.0442551708850262 0.0288242059885615 0.0320197495220823 0.190627829522311 0.121520889050042 0.190627829522311 6 0.105112824718466 0.343467450605273 0.337345429808856 0.403586312863137 0.399719657125386 0.0535716147984278 0.188987662057876 0.0535716147984278
"104.23" 0.00499010948345102 -0.033363971674786 0.00402154145166445 0.0256612271454267 0.0617177333071409 0.029041527588537 -0.0753460518023974 0.0617177333071409 5 0.451537043321371 0.702421479582922 0.478694588389116 0.386035937631035 0.294721014623955 0.38116615324807 0.820694751417042 0.294721014623955
"105.1" -0.0272638647647514 -0.0706790216361157 -0.0697162061353935 -0.0735054174197429 -0.393012266338618 -3.79328010356323 -9.80725301597705 -0.0272638647647514 1 0.778146563575836 0.90738672224086 0.866043442411482 0.736093926495997 0.992946635043484 0.99999999546018 0.999999999986942 0.778146563575836
"107.3" -0.0376806883724077 0.00819591126141506 -0.0138485966785247 0.103910164082014 -0.081925826150774 -0.0678025158068065 -0.217100552588803 0.103910164082014 4 0.946803300221413 0.378009928956388 0.659125490647454 0.107022441764771 0.891158446220491 0.974102637003657 0.999904638781473 0.107022441764771
"109.29" -0.0643721148347662 -0.129984249219618 -0.16579072475874 -0.176315018826005 -0.28325480732393 -0.0878860086588564 -0.131042553374212 -0.0643721148347662 1 0.777988175846993 0.881022405519725 0.898661469227597 0.876939383936097 0.930521168821222 0.733184612938724 0.77612696150004 0.777988175846993
"109.42" -0.0851359037582951 -0.184423816744316 -0.2180186530742 -0.261418699245126 -0.391423855785247 -0.279622586769943 0.106719255270919 0.106719255270919 7 0.853803266865036 0.946681181072142 0.947387946986802 0.95209556053814 0.976847787636427 0.924199188510654 0.187409651110658 0.187409651110658
"109.9" -0.109159352131101 -0.272522261038463 -0.266754040147926 -0.274522053055881 -0.304073463940052 -0.280238479162101 -0.561873757051178 -0.109159352131101 1 0.934315864889009 0.998534360095257 0.994951175269973 0.993370010251897 0.989039550234569 0.947863603631877 0.991954021727772 0.934315864889009
"112.8" -0.0554848223350852 -0.118896357419343 -0.166605115290073 -0.191411648321253 -0.140714466452206 -0.1172438177101 -0.280205704348527 -0.0554848223350852 1 0.830980112091875 0.940714359713481 0.980660427587309 0.968289600391266 0.898008240869999 0.831801510604269 0.975195692857421 0.830980112091875
"12.150" 0.124961042867201 0.183682561187643 0.167455771013815 0.135380649000466 0.157249103101518 -0.308774370621339 -0.114019504224846 0.183682561187643 2 0.00369778345987519 0.00214291563184579 0.0190567677642691 0.0740745189906835 0.0860658920970486 0.884436470680973 0.835056542712098 0.00214291563184579
"12.171" 0.143555944515762 0.146131399168214 0.158133268686764 0.132151356285552 0.0785268445975676 -0.000546874879390202 0.0828547949311034 0.158133268686764 3 0.00630886365946164 0.00957105703130789 0.0110039877184632 0.0525469632575171 0.254716277067672 0.502693510055727 0.0472795459889029 0.0110039877184632
