"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_Reff" "Month"
"103.1" 0.0848991150466758 0.04974740907829 0.0516304345956888 0.106010099534206 0.151325126871052 0.46253219373108 0.429261916065832 0.46253219373108 6
"103.40" 0.0744746840050218 -0.0349975632774515 0.0572016886144103 0.0132293687179111 0.0709550619100979 0.297941442080496 0.405570551989365 0.405570551989365 7
"104.23" -0.00184427377621055 -0.14419986760662 -0.0955026699044863 -0.0210181345792657 0.102360822903613 0.0980977244806814 0.0667991583520663 0.102360822903613 5
"105.1" -0.20731552451818 -0.305295573724279 -0.337396644612582 0.0206634319789122 -0.480074926916792 -14.0448984427795 -52.1500638970589 0.0206634319789122 4
"107.3" -0.137302457745783 -0.0597289979371567 -0.0807541328141983 0.222359100319979 -0.10423215797557 -0.261755900792959 -0.770252915212945 0.222359100319979 4
"109.29" -0.09161957719712 -0.212746583638827 -0.334620798721905 -0.366905853263309 -0.618253523318944 -0.125429575718518 -0.380280731551254 -0.09161957719712 1
"109.42" -0.318035469559591 -0.501195609570935 -0.482148293774333 -0.561757816322314 -0.814681395079956 -0.635264158298835 0.290108022687849 0.290108022687849 7
"109.9" -0.286070617195948 -0.531521485553742 -0.527128197524877 -0.535123974659545 -0.694449543183447 -0.494868275648562 -0.913622022146693 -0.286070617195948 1
"112.8" -0.184418902380349 -0.235236521327345 -0.3050907505106 -0.36631115708599 -0.253276431520483 -0.0750166100433907 -0.144199741493653 -0.0750166100433907 6
"12.150" 0.243902930166061 0.313921234810111 0.296341492054788 0.254740865257821 0.216649836762054 -0.123720877447283 -0.0820766544189246 0.313921234810111 2
"12.171" 0.22192987459224 0.218545801457523 0.243338951603932 0.20577287065763 0.0462891713239154 0.118186400959842 0.087126783478593 0.243338951603932 3
"12.178" -0.0150407360522942 -0.0477423848816905 -0.0148132050970584 -0.0965157000665191 -0.270141763207348 -0.270264342939466 -0.392947053238429 -0.0148132050970584 3
"12.192" -0.14692753614455 -0.0504837647145979 -0.0861023098166713 -0.0908121227750229 0.0992272792495249 0.00123136585907779 0.0219304924933627 0.0992272792495249 5
