"X1" "X2" "X3" "X4"
"199" 22.16 1990 3 16524
"200" 22.16 1990 4 14850
"201" 22.16 1990 5 13230
"202" 22.16 1990 6 11556
"203" 22.16 1990 7 9936
"204" 22.16 1991 1 19710
"205" 22.16 1991 2 18036
"206" 22.16 1991 3 16524
"207" 22.16 1991 4 14850
"208" 22.16 1991 5 13230
"209" 22.16 1991 6 11556
"210" 22.16 1991 7 9936
"211" 22.16 1992 1 19764
"212" 22.16 1992 2 18090
"213" 22.16 1992 3 16524
"214" 22.16 1992 4 14850
"215" 22.16 1992 5 13230
"216" 22.16 1992 6 11556
"217" 22.16 1992 7 9936
"218" 22.16 1993 1 19710
"219" 22.16 1993 2 18036
"220" 22.16 1993 3 16524
"221" 22.16 1993 4 14850
"222" 22.16 1993 5 13230
"223" 22.16 1993 6 11556
"224" 22.16 1993 7 9936
"225" 22.16 1994 1 19710
"226" 22.16 1994 2 18036
"227" 22.16 1994 3 16524
"228" 22.16 1994 4 14850
"229" 22.16 1994 5 13230
"230" 22.16 1994 6 11556
"231" 22.16 1994 7 9936
"232" 22.16 1995 1 19710
"233" 22.16 1995 2 18036
"234" 22.16 1995 3 16524
"235" 22.16 1995 4 14850
"236" 22.16 1995 5 13230
"237" 22.16 1995 6 11556
"238" 22.16 1995 7 9936
"239" 22.16 1996 1 19764
"240" 22.16 1996 2 18090
"241" 22.16 1996 3 16524
"242" 22.16 1996 4 14850
"243" 22.16 1996 5 13230
"244" 22.16 1996 6 11556
"245" 22.16 1996 7 9936
"246" 22.16 1997 1 19710
"247" 22.16 1997 2 18036
"248" 22.16 1997 3 16524
"249" 22.16 1997 4 14850
"250" 22.16 1997 5 13230
"251" 22.16 1997 6 11556
"252" 22.16 1997 7 9936
"253" 22.16 1998 1 19710
"254" 22.16 1998 2 18036
"255" 22.16 1998 3 16524
"256" 22.16 1998 4 14850
"257" 22.16 1998 5 13230
"258" 22.16 1998 6 11556
"259" 22.16 1998 7 9936
"260" 22.16 1999 1 19710
"261" 22.16 1999 2 18036
"262" 22.16 1999 3 16524
"263" 22.16 1999 4 14850
"264" 22.16 1999 5 13230
"265" 22.16 1999 6 11556
"266" 22.16 1999 7 9936
"267" 22.16 2000 1 19764
"268" 22.16 2000 2 18090
"269" 22.16 2000 3 16524
"270" 22.16 2000 4 14850
"271" 22.16 2000 5 13230
"272" 22.16 2000 6 11556
"273" 22.16 2000 7 9936
"274" 22.16 2001 1 19710
"275" 22.16 2001 2 18036
"276" 22.16 2001 3 16524
"277" 22.16 2001 4 14850
"278" 22.16 2001 5 13230
"279" 22.16 2001 6 11556
"280" 22.16 2001 7 9936
"281" 22.16 2002 1 19710
"282" 22.16 2002 2 18036
"283" 22.16 2002 3 16524
"284" 22.16 2002 4 14850
"285" 22.16 2002 5 13230
"286" 22.16 2002 6 11556
"287" 22.16 2002 7 9936
"288" 22.16 2003 1 19710
"289" 22.16 2003 2 18036
"290" 22.16 2003 3 16524
"291" 22.16 2003 4 14850
"292" 22.16 2003 5 13230
"293" 22.16 2003 6 11556
"294" 22.16 2003 7 9936
"295" 22.16 2004 1 19764
"296" 22.16 2004 2 18090
"297" 22.16 2004 3 16524
"298" 22.16 2004 4 14850
"299" 22.16 2004 5 13230
"300" 22.16 2004 6 11556
"301" 22.16 2004 7 9936
"302" 22.16 2005 1 19710
"303" 22.16 2005 2 18036
"304" 22.16 2005 3 16524
"305" 22.16 2005 4 14850
"306" 22.16 2005 5 13230
"307" 22.16 2005 6 11556
"308" 22.16 2005 7 9936
"309" 22.16 2006 1 19710
"310" 22.16 2006 2 18036
"311" 22.16 2006 3 16524
"312" 22.16 2006 4 14850
"313" 22.16 2006 5 13230
"314" 22.16 2006 6 11556
"315" 22.16 2006 7 9936
"316" 22.16 2007 1 19710
"317" 22.16 2007 2 18036
"318" 22.16 2007 3 16524
"319" 22.16 2007 4 14850
"320" 22.16 2007 5 13230
"321" 22.16 2007 6 11556
"322" 22.16 2007 7 9936
"323" 22.16 2008 1 19764
"324" 22.16 2008 2 18090
"325" 22.16 2008 3 16524
"326" 22.16 2008 4 14850
"327" 22.16 2008 5 13230
"328" 22.16 2008 6 11556
"329" 22.16 2008 7 9936
"330" 22.16 2009 1 19710
"331" 22.16 2009 2 18036
"332" 22.16 2009 3 16524
"333" 22.16 2009 4 14850
"334" 22.16 2009 5 13230
"335" 22.16 2009 6 11556
"336" 22.16 2009 7 9936
"337" 22.16 2010 1 19710
"338" 22.16 2010 2 18036
"339" 22.16 2010 3 16524
"340" 22.16 2010 4 14850
"341" 22.16 2010 5 13230
"342" 22.16 2010 6 11556
"343" 22.16 2010 7 9936
"344" 22.16 2011 1 19710
"345" 22.16 2011 2 18036
"346" 22.16 2011 3 16524
"347" 22.16 2011 4 14850
"348" 22.16 2011 5 13230
"349" 22.16 2011 6 11556
"350" 22.16 2011 7 9936
"351" 22.16 2012 1 19764
"352" 22.16 2012 2 18090
"353" 22.16 2012 3 16524
"354" 22.16 2012 4 14850
"355" 22.16 2012 5 13230
"356" 22.16 2012 6 11556
"357" 22.16 2012 7 9936
"358" 22.16 2013 1 19710
"359" 22.16 2013 2 18036
"360" 22.16 2013 3 16524
"361" 22.16 2013 4 14850
"362" 22.16 2013 5 13230
"363" 22.16 2013 6 11556
"364" 22.16 2013 7 9936
"365" 22.16 2014 1 19710
"366" 22.16 2014 2 18036
"367" 22.16 2014 3 16524
"368" 22.16 2014 4 14850
"369" 22.16 2014 5 13230
"370" 22.16 2014 6 11556
"371" 22.16 2014 7 9936
"372" 22.16 2015 1 19710
"373" 22.16 2015 2 18036
"374" 22.16 2015 3 16524
