"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_bss" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "P_all"
"103.1" 0.0353771966730315 0.025960250800145 0.0886349072785527 0.0365739991585488 0.0974219571064299 0.307066307497253 0.141723337380155 0.307066307497253 6 0.380147384733843 0.432202826669098 0.293646210423399 0.418950896283618 0.294942141550773 0.0203371446381254 0.279124050411851 0.0203371446381254
"103.40" 0.0881979373063049 0.0693237819438095 0.119722603261698 0.0961743636640756 0.0742010872326373 0.0665577342047932 -0.08994708994709 0.119722603261698 3 0.189607952158564 0.294875129946586 0.202646704634896 0.267488967573416 0.318808735598099 0.343451746223003 0.593754931539971 0.202646704634896
"104.23" 0.0678914712912576 0.122958374342973 0.122759303080435 0.194358600506775 0.340948990489752 0.352863563545746 0.0743291066309419 0.352863563545746 6 0.205214664813757 0.212664623695689 0.215205006298389 0.10088484329344 0.0548032793066069 0.0333353372509906 0.142444728591234 0.0333353372509906
"105.1" -0.0757030178326474 -0.0458056346945237 -0.0489542074907927 0.0892255892255892 0.0576774691358024 NA NA 0.0892255892255892 4 0.838605665716124 0.728480029105822 0.727247775613068 0.23479275057283 0.268192949227043 NA NA 0.23479275057283
"107.3" -0.0178000276887784 0.0010745175447483 -0.247845860355689 0.506914604841581 -0.970117479530082 0.0199999999999999 0.0199999999999999 0.506914604841581 4 0.743620037524317 0.484787775149387 0.788809947391463 0.0591611748044649 0.757477056805014 0.161162609260365 0.161162609260365 0.0591611748044649
"109.29" -0.316468867980327 -0.390051597473861 -0.317062961528718 -0.381225064754913 -0.393334712615733 -0.499014491746911 -0.956081931769834 -0.316468867980327 1 0.882747455002145 0.920655331794429 0.869440837735896 0.902494649944521 0.926309417103455 0.851424967213184 0.679479176062886 0.882747455002145
"109.42" -0.00937613630460765 -0.107189236922757 -0.095891122539089 -0.105682821671601 -0.191184873513064 -0.245767195767196 -0.0917592592592593 -0.00937613630460765 1 0.532443703604649 0.770427045787591 0.731170740910615 0.740522572526994 0.857059316908298 0.857939367501174 0.620989944039419 0.532443703604649
"109.9" -0.0671264367816091 -0.265210727969349 -0.24367816091954 -0.205568326947637 -0.172771392081737 -0.0279309384572544 0.184259259259259 0.184259259259259 7 0.704107757561029 0.959924131565963 0.937149534769516 0.912812453341729 0.857150841605369 0.566450280762769 0.0460926575235493 0.0460926575235493
"112.8" -0.0081100769566067 -0.111475736425245 -0.247087645577989 -0.226308681721795 -0.105237984909861 0.0498830885708469 -0.260002786075812 0.0498830885708469 6 0.539566494116668 0.832908260353824 0.949794962190927 0.907975427848197 0.721741677603616 0.41218084171045 0.768943060475287 0.41218084171045
"12.150" 0.169592366457107 0.219435895037137 0.17438890312046 0.128475067228479 0.107670811821162 -0.734693489621103 -Inf 0.219435895037137 2 0.0175002498866142 0.0148515481359088 0.0740437442861494 0.172379492876979 0.262351819631289 0.758521488985319 NA 0.0148515481359088
"12.171" 0.204248681187093 0.272875566447444 0.24766866379343 0.237644184587672 0.316965790396026 0.0372311801203067 0.00593819090444669 0.316965790396026 5 0.00932530600379311 0.000708898749215665 0.00805409530561599 0.021712556010146 0.0123282277698001 0.186702718183982 0.409282716736813 0.0123282277698001
