"qsim";"qobs"
0.002729;0.009502
0.003639;0.009746
0.004094;0.009859
0.004549;0.010077
0.005003;0.01022
0.005458;0.010366
0.005458;0.010434
0.005913;0.010446
0.006368;0.010453
0.006368;0.010453
0.006368;0.010506
0.006823;0.010598
0.006823;0.010638
0.006823;0.010704
0.007278;0.010771
0.007733;0.010845
0.008187;0.010862
0.008642;0.010871
0.009097;0.010899
0.009097;0.010947
0.009552;0.011018
0.010007;0.011056
0.010462;0.011146
0.010462;0.011152
0.010917;0.011163
0.010917;0.011269
0.010917;0.011302
0.011372;0.011381
0.011826;0.011462
0.011826;0.011491
0.011826;0.011568
0.011826;0.011581
0.012281;0.011664
0.012281;0.011789
0.013191;0.011811
0.013191;0.011818
0.013191;0.011912
0.013191;0.011994
0.013646;0.012053
0.013646;0.01207
0.013646;0.012105
0.014556;0.012129
0.014556;0.012158
0.014556;0.012165
0.01501;0.012172
0.01501;0.012172
0.01501;0.012172
0.01501;0.012173
0.015465;0.012183
0.015465;0.012231
0.016375;0.012251
0.016375;0.012357
0.016375;0.012372
0.01683;0.012421
0.017285;0.012476
0.017285;0.012543
0.017285;0.01267
0.01774;0.012899
0.018194;0.013118
0.018194;0.013143
0.018194;0.013154
0.018649;0.01316
0.018649;0.013198
0.019104;0.013308
0.019104;0.013374
0.019104;0.013401
0.019559;0.013541
0.019559;0.013585
0.019559;0.013625
0.020014;0.013718
0.020469;0.013737
0.020469;0.013752
0.020469;0.01387
0.020924;0.013885
0.020924;0.013922
0.020924;0.013949
0.021378;0.013949
0.021378;0.013949
0.021833;0.013949
0.021833;0.014115
0.021833;0.01419
0.022288;0.014287
0.022743;0.014302
0.022743;0.014522
0.023198;0.014579
0.023198;0.01461
0.023653;0.014681
0.023653;0.014759
0.023653;0.014771
0.023653;0.014806
0.023653;0.014834
0.024108;0.015029
0.024108;0.015073
0.024108;0.015144
0.024563;0.015166
0.024563;0.015357
0.025017;0.015422
0.025017;0.0155
0.025017;0.015507
0.025472;0.015543
0.025472;0.015621
0.025927;0.015763
0.026382;0.015769
0.026382;0.015778
0.026382;0.015951
0.026382;0.016021
0.026382;0.016041
0.026837;0.016048
0.026837;0.016082
0.026837;0.016128
0.026837;0.016201
0.026837;0.01636
0.027292;0.016484
0.027747;0.016641
0.027747;0.016689
0.027747;0.01674
0.028201;0.016889
0.028201;0.016955
0.028201;0.016977
0.028656;0.017047
0.028656;0.017606
0.029111;0.017643
0.029111;0.017644
0.029111;0.018258
0.029566;0.018271
0.029566;0.018307
0.029566;0.018329
0.030021;0.018506
0.030021;0.018658
0.030021;0.019071
0.030021;0.019347
0.030476;0.019524
0.030476;0.019524
0.030476;0.019524
0.030476;0.019613
0.030931;0.019674
0.030931;0.02015
0.030931;0.020737
0.031385;0.020834
0.03184;0.020954
0.03184;0.021014
0.032295;0.021237
0.032295;0.021674
0.032295;0.0217
0.03275;0.021713
0.03275;0.02176
0.03275;0.021796
0.033205;0.021909
0.033205;0.022614
0.033205;0.022655
0.033205;0.023234
0.033205;0.023849
0.03366;0.024059
0.03366;0.024526
0.03366;0.024526
0.03366;0.024526
0.03366;0.024526
0.034115;0.024526
0.034569;0.024526
0.035024;0.024571
0.035479;0.024639
0.035479;0.024842
0.035934;0.025076
0.036389;0.025498
0.036389;0.025555
0.036389;0.025625
0.036389;0.026549
0.036389;0.026696
0.036844;0.027111
0.037299;0.027178
0.037299;0.027273
0.037299;0.02732
0.037299;0.027358
0.037299;0.027389
0.037299;0.027454
0.037753;0.027786
0.037753;0.028231
0.037753;0.0283
0.038208;0.028656
0.038208;0.028901
0.038663;0.029084
0.038663;0.029241
0.039118;0.029256
0.039118;0.029512
0.039573;0.029683
0.039573;0.029935
0.039573;0.030113
0.039573;0.030113
0.040028;0.030113
0.040028;0.030113
0.040483;0.030113
0.040483;0.030113
0.040483;0.030113
0.040938;0.030113
0.040938;0.030243
0.040938;0.030332
0.041392;0.03078
0.041392;0.031014
0.041847;0.03139
0.041847;0.031628
0.041847;0.031952
0.041847;0.032029
0.042302;0.032421
0.042302;0.032761
0.042302;0.033109
0.042757;0.033245
0.042757;0.033252
0.042757;0.033357
0.043667;0.033421
0.043667;0.033504
0.043667;0.033824
0.043667;0.03389
0.044122;0.034412
0.044122;0.034456
0.044122;0.034562
0.044576;0.034772
0.044576;0.035087
0.044576;0.035149
0.044576;0.035445
0.045031;0.035707
0.045486;0.035778
0.045486;0.035806
0.045941;0.03629
0.045941;0.03629
0.046396;0.03629
0.046396;0.03629
0.046851;0.03629
0.046851;0.03629
0.046851;0.036432
0.047306;0.036688
0.047306;0.037059
0.047306;0.0376
0.04776;0.037761
0.04776;0.037814
0.04776;0.038092
0.04776;0.038146
0.04776;0.03824
0.04776;0.038511
0.048215;0.038559
0.04867;0.038601
0.04867;0.038674
0.04867;0.038692
0.049125;0.039053
0.049125;0.039392
0.049125;0.039601
0.04958;0.039784
0.04958;0.039797
0.050035;0.040409
0.050035;0.040656
0.05049;0.040665
0.050944;0.040996
0.051399;0.041317
0.051399;0.042155
0.051854;0.04217
0.051854;0.042505
0.052309;0.042548
0.052309;0.042609
0.052764;0.042637
0.052764;0.043057
0.053219;0.043057
0.053219;0.043116
0.053219;0.043151
0.053219;0.043165
0.053219;0.043386
0.053219;0.043486
0.053219;0.043688
0.053674;0.044056
0.053674;0.04424
0.053674;0.044323
0.054128;0.044379
0.054583;0.044864
0.055038;0.045209
0.055038;0.04559
0.055493;0.045677
0.055493;0.045705
0.055493;0.046615
0.056403;0.046654
0.056403;0.046933
0.057312;0.047114
0.057767;0.047368
0.057767;0.047452
0.058222;0.047849
0.058222;0.048121
0.058222;0.048214
0.058222;0.048273
0.058222;0.04862
0.058222;0.048793
0.059132;0.048874
