"qsim";"qobs"
2.375949;1.297938
2.387789;2.23
2.431204;2.23
2.462778;2.23
2.498299;2.23
2.54566;2.23
2.593021;2.23
2.640382;2.23
2.652222;2.23
2.652222;2.23
2.656169;2.23
2.675903;2.23
2.71537;2.23
2.727211;2.23
2.762731;2.23
2.782465;2.23
2.814039;2.23
2.841667;2.23
2.841667;2.23
2.857454;2.24
2.873241;2.24
2.881134;2.24
2.885081;2.24
2.889028;2.25
2.889028;2.27
2.892975;2.28
2.900868;2.29
2.904815;2.3
2.904815;2.31
2.908762;2.34
2.912708;2.36
2.920602;2.38
2.924549;2.41
2.928495;2.44
2.936389;2.47
2.940336;2.47
2.940336;2.5
2.944282;2.54
2.948229;2.55
2.952176;2.59
2.956123;2.59325
2.956123;2.6
2.956123;2.6
2.956123;2.6
2.960069;2.6
2.960069;2.6
2.960069;2.6
2.964016;2.6
2.964016;2.6
2.967963;2.6
2.979803;2.6
2.98375;2.6
2.987697;2.613996
2.987697;2.613996
2.991644;2.62
2.99559;2.624369
2.99559;2.63
2.999537;2.63
3.003484;2.634742
3.003484;2.64
3.007431;2.65
3.011377;2.65
3.011377;2.655488
3.015324;2.66
3.023218;2.66
3.023218;2.665861
3.027164;2.676234
3.031111;2.68
3.031111;2.68
3.031111;2.69
3.035058;2.69698
3.039005;2.69698
3.039005;2.7
3.039005;2.7
3.042951;2.707353
3.042951;2.717726
3.046898;2.717726
3.046898;2.72
3.046898;2.72
3.050845;2.728099
3.050845;2.738472
3.054792;2.738472
3.058738;2.74
3.062685;2.74
3.066632;2.748845
3.070579;2.748845
3.074525;2.748845
3.074525;2.75
3.078472;2.759218
3.078472;2.76
3.078472;2.76
3.082419;2.76
3.082419;2.769103
3.082419;2.77
3.090312;2.779964
3.090312;2.779964
3.094259;2.779964
3.098206;2.779964
3.098206;2.78
3.1061;2.78
3.1061;2.79
3.110046;2.790337
3.110046;2.790337
3.113993;2.790337
3.113993;2.8
3.113993;2.8
3.121887;2.8
3.121887;2.8
3.12978;2.8
3.133727;2.8
3.137674;2.8
3.137674;2.8
3.137674;2.8
3.137674;2.8
3.14162;2.8
3.145567;2.8
3.145567;2.8
3.145567;2.8
3.145567;2.80071
3.153461;2.80071
3.153461;2.80071
3.157407;2.80071
3.161354;2.801574
3.161354;2.805192
3.165301;2.805192
3.165301;2.805192
3.169248;2.805192
3.169248;2.805192
3.169248;2.805192
3.173194;2.805192
3.177141;2.805192
3.177141;2.805192
3.177141;2.805192
3.177141;2.81
3.181088;2.81
3.181088;2.81
3.181088;2.811083
3.181088;2.811083
3.185035;2.81195
3.188981;2.82
3.188981;2.822326
3.188981;2.83
3.188981;2.83
3.188981;2.83
3.188981;2.831829
3.192928;2.84
3.192928;2.84
3.192928;2.84
3.196875;2.84
3.196875;2.842202
3.200822;2.842202
3.204769;2.842202
3.204769;2.843079
3.208715;2.85
3.212662;2.85
3.212662;2.85
3.216609;2.85
3.216609;2.852575
3.216609;2.852575
3.216609;2.852575
3.216609;2.852575
3.216609;2.86
3.220556;2.86
3.220556;2.862948
3.220556;2.862948
3.220556;2.862948
3.220556;2.863831
3.220556;2.863831
3.224502;2.87
3.228449;2.87
3.228449;2.87
3.232396;2.874207
3.232396;2.874207
3.232396;2.88
3.236343;2.88
3.236343;2.88
3.236343;2.88
3.240289;2.88
3.240289;2.883694
3.240289;2.883694
3.244236;2.883694
3.244236;2.883694
3.248183;2.883694
3.25213;2.884583
3.25213;2.884583
3.25213;2.884583
3.256076;2.89
3.260023;2.89
3.260023;2.89
3.26397;2.891971
3.26397;2.891971
3.26397;2.891971
3.267917;2.891971
3.267917;2.894067
3.267917;2.894067
3.267917;2.894067
3.271863;2.894067
3.271863;2.89496
3.27581;2.89496
3.27581;2.9
3.279757;2.9
3.279757;2.9
3.279757;2.9
3.283704;2.9
3.283704;2.9
3.28765;2.9
3.28765;2.9
3.287651;2.90444
3.291597;2.90444
3.291597;2.905336
3.295544;2.905336
3.295544;2.905336
3.295544;2.905336
3.299491;2.905336
3.299491;2.909088
3.303437;2.91
3.303437;2.91
3.307384;2.914813
3.307384;2.914813
3.311331;2.914813
3.311331;2.914813
3.315278;2.915712
3.315278;2.915712
3.315278;2.92
3.315278;2.92
3.319225;2.925186
3.323171;2.925186
3.323171;2.925186
3.323171;2.925186
3.327118;2.925186
3.327118;2.926088
3.327118;2.926088
3.327118;2.93
3.327118;2.93
3.331065;2.93
3.331065;2.935559
3.331065;2.935559
3.335012;2.935559
3.335012;2.936465
3.342905;2.936465
3.342905;2.936465
3.342905;2.94
3.342905;2.94
3.342905;2.94
3.342905;2.94
3.342905;2.94
3.346852;2.94
3.346852;2.940001
3.346852;2.945932
3.346852;2.945932
3.346852;2.946841
3.346852;2.946841
3.354745;2.95
3.354745;2.95
3.354745;2.95
3.358692;2.95
3.358692;2.95
3.358692;2.950001
3.358692;2.957217
3.358692;2.957217
3.362639;2.96
3.362639;2.96
3.362639;2.96
3.366586;2.96
3.366586;2.96
3.366586;2.966678
3.366586;2.966678
3.370532;2.966678
3.370532;2.97
3.370532;2.97
3.370532;2.97
3.370532;2.97
3.374479;2.97
3.378426;2.97
3.378426;2.977051
3.382373;2.977051
3.382373;2.98
3.386319;2.987424
3.386319;2.987424
3.386319;2.99
3.390266;2.99
3.390266;2.99
3.390266;2.998722
3.394213;2.998722
3.394213;3
3.394213;3
3.394213;3
3.39816;3
3.39816;3
3.39816;3
3.39816;3
3.39816;3
3.39816;3
3.402106;3.00817
3.402106;3.00817
3.402106;3.00817
3.406053;3.00817
3.406053;3.009098
3.406053;3.01
3.406053;3.01
3.406053;3.01
3.41;3.01
3.41;3.01
3.41;3.01
3.41;3.01
3.41;3.01
3.413947;3.01
3.413947;3.01
3.413947;3.01
3.413947;3.01
3.413947;3.01
3.42184;3.01
3.425787;3.01
3.429734;3.01
3.429734;3.01
3.429734;3.01
3.429734;3.01
3.429734;3.01
3.433681;3.01
3.433681;3.01
3.433681;3.01
3.433681;3.01
3.437627;3.01
3.437627;3.012984
3.437627;3.012984
3.437627;3.012984
3.441574;3.018122
3.441574;3.018122
3.441574;3.018122
3.441574;3.018122
3.445521;3.018122
3.445521;3.018122
3.445521;3.018122
3.445521;3.018122
3.449468;3.018122
3.449468;3.018122
3.453414;3.018122
3.453414;3.018122
3.453414;3.018543
3.457361;3.02
3.457361;3.02
3.457361;3.02
3.457361;3.03
3.457361;3.03
3.461308;3.03
3.461308;3.03
3.461308;3.039289
3.465255;3.04
3.465255;3.04
3.465255;3.04
3.465255;3.04
3.469201;3.04
3.469201;3.049662
3.473148;3.049662
3.473148;3.049662
3.473148;3.05
3.477095;3.05
3.477095;3.05
3.477095;3.05
3.477095;3.05
3.477095;3.050603
3.481042;3.06
3.481042;3.06
3.481042;3.06
3.481042;3.06
3.484988;3.06
3.488935;3.060035
3.488935;3.060035
3.492882;3.07
3.492882;3.07
3.492882;3.07
3.496829;3.07
3.496829;3.07
3.496829;3.07
3.500775;3.070408
3.504722;3.070408
3.504722;3.08
3.504722;3.08
3.504722;3.08
3.504722;3.08
3.508669;3.08
3.508669;3.080781
3.508669;3.080781
3.508669;3.080781
3.508669;3.080781
3.508669;3.080781
3.512616;3.080781
3.512616;3.080781
3.512616;3.080781
3.512616;3.080781
3.512616;3.080781
3.512616;3.09
3.512616;3.09
3.516562;3.091154
3.516563;3.091154
3.516563;3.1
3.516563;3.1
3.520509;3.1
3.520509;3.1
3.520509;3.1
3.524456;3.1
3.524456;3.1
3.524456;3.1
3.524456;3.1
3.528403;3.1
3.528403;3.1
3.528403;3.101527
3.528403;3.11
3.528403;3.11
3.532349;3.11
3.53235;3.1119
3.53235;3.11688
3.53235;3.11688
3.536296;3.117294
3.536296;3.12
3.540243;3.12
3.540243;3.12
3.540243;3.12
3.540243;3.12
3.540243;3.12
3.54419;3.12
3.54419;3.12
3.54419;3.12
3.54419;3.12
3.54419;3.12
3.548136;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.548137;3.12
3.552083;3.12
3.552083;3.12
3.552083;3.12
3.552083;3.12
3.55603;3.12
3.55603;3.12
3.55603;3.122273
3.559977;3.122273
3.559977;3.13
3.559977;3.14
3.559977;3.14
3.559977;3.14
3.563924;3.143019
3.563924;3.143019
3.56787;3.143019
3.56787;3.147591
3.56787;3.147591
3.56787;3.147591
3.56787;3.15
3.571817;3.15
3.571817;3.15
3.571817;3.15
3.571817;3.15
3.575764;3.153392
3.575764;3.153807
3.575764;3.16
3.575764;3.16
3.575764;3.160001
3.575764;3.163765
3.579711;3.17
3.579711;3.17
3.579711;3.17
3.579711;3.174138
3.583657;3.18
3.583657;3.18
3.583657;3.184511
3.583657;3.184511
3.583657;3.184511
3.583657;3.19
3.587604;3.19
3.587604;3.19032
3.587604;3.194884
3.591551;3.2
3.591551;3.2
3.591551;3.2
3.591551;3.2
3.595498;3.2
3.595498;3.2
3.595498;3.2
3.595498;3.2
3.595498;3.2
3.595498;3.2
3.595498;3.205257
3.599444;3.205257
3.599444;3.209406
3.599444;3.21
3.603391;3.21
3.603391;3.21
3.607338;3.22
3.607338;3.22
3.607338;3.22
3.611285;3.22
3.611285;3.22
3.615231;3.22
3.615232;3.220776
3.619178;3.226003
3.619178;3.226003
3.619178;3.226833
3.623125;3.23
3.623125;3.23
3.623125;3.23
3.623125;3.23
3.623125;3.23
3.627072;3.23
3.627072;3.23
3.627072;3.236376
3.627072;3.236376
3.627072;3.24
3.631019;3.246749
3.631019;3.25
3.631019;3.25
3.631019;3.25
3.631019;3.25
3.631019;3.25
3.631019;3.25
3.631019;3.25
3.634965;3.257122
3.634965;3.26
3.634965;3.263346
3.634965;3.267495
3.634965;3.267495
3.638912;3.267495
3.638912;3.28
3.638912;3.28
3.638912;3.28
3.638912;3.280408
3.642859;3.280408
3.642859;3.280408
3.642859;3.280408
3.642859;3.280408
3.646806;3.280408
3.646806;3.280408
3.650752;3.280408
3.650752;3.288241
3.650752;3.288241
3.654699;3.29
3.654699;3.29
3.654699;3.29
3.658646;3.299859
3.658646;3.3
3.658646;3.3
3.658646;3.3
3.662592;3.3
3.662593;3.3
3.662593;3.3
3.662593;3.3
3.662593;3.3
3.662593;3.3
3.666539;3.3
3.666539;3.3
3.666539;3.31
3.666539;3.31
3.666539;3.31936
3.666539;3.324672
3.666539;3.33
3.666539;3.33
3.670486;3.33
3.670486;3.33
3.670486;3.33
3.670486;3.33
3.670486;3.336372
3.670486;3.34
3.674433;3.34
3.674433;3.34
3.674433;3.35
3.674433;3.35
3.674433;3.35
3.674433;3.35
3.67838;3.35
3.67838;3.35
3.67838;3.350479
3.67838;3.36
3.67838;3.36
3.67838;3.37
3.67838;3.372885
3.67838;3.38
3.69022;3.38
3.69022;3.38
3.69022;3.381598
3.69022;3.39
3.69022;3.391971
3.69022;3.397399
3.694167;3.4
3.698113;3.4
3.698113;3.4
3.698113;3.4
3.698113;3.4
3.70206;3.4
3.70206;3.4
3.70206;3.4
3.70206;3.4
3.70206;3.4
3.706007;3.4
3.706007;3.4
3.706007;3.4
3.706007;3.409398
3.706007;3.41
3.709954;3.416605
3.709954;3.416605
3.709954;3.416605
3.709954;3.416605
3.709954;3.416605
3.7139;3.416605
3.7139;3.416605
3.7139;3.416605
3.717847;3.416605
3.717847;3.416605
3.717847;3.416605
3.717847;3.42
3.717847;3.42
3.717847;3.42
3.717847;3.428568
3.717847;3.43
3.717847;3.43
3.721794;3.432426
3.721794;3.44
3.721794;3.44
3.721794;3.44
3.721794;3.44
3.721794;3.44
3.721794;3.445911
3.721794;3.45
3.725741;3.45
3.725741;3.45
3.725741;3.45
3.725741;3.45
3.729687;3.46
3.729687;3.46
3.729687;3.46
3.729687;3.46
3.733634;3.46
3.733634;3.47
3.733634;3.47
3.737581;3.47
3.737581;3.47
3.737581;3.47
3.737581;3.474955
3.737581;3.48
3.737581;3.48
3.741528;3.48
3.741528;3.482424
3.741528;3.49
3.745475;3.5
3.745475;3.5
3.745475;3.5
3.749421;3.5
3.753368;3.5
3.753368;3.5
3.753368;3.5
3.753368;3.5
3.753368;3.5
3.753368;3.5
3.753368;3.5
3.757315;3.5
3.757315;3.5
3.761262;3.5
3.761262;3.5
3.761262;3.5
