"qsim";"qobs"
0.026139;0.311684
0.026139;0.311684
0.026139;0.311684
0.029406;0.316873
0.029406;0.322274
0.029406;0.324974
0.032674;0.330372
0.032674;0.335769
0.035941;0.335769
0.035941;0.341166
0.035941;0.346562
0.039208;0.349258
0.042476;0.351956
0.042476;0.354653
0.042476;0.360048
0.045743;0.362743
0.045743;0.365441
0.045743;0.370833
0.04901;0.376225
0.052278;0.376225
0.052278;0.378921
0.052278;0.384313
0.058812;0.389702
0.058812;0.389702
0.058812;0.395092
0.06208;0.40048
0.06208;0.405869
0.065347;0.408563
0.065347;0.413951
0.068615;0.414413
0.068615;0.41934
0.071882;0.424726
0.071882;0.430112
0.071882;0.432805
0.075149;0.438191
0.075149;0.440885
0.075149;0.44268
0.078417;0.442905
0.081684;0.443576
0.081684;0.444391
0.081684;0.448477
0.084951;0.448961
0.084951;0.454266
0.084951;0.454345
0.088219;0.457039
0.088219;0.460052
0.088219;0.462422
0.088219;0.462422
0.088219;0.465841
0.091486;0.467806
0.094753;0.469463
0.094753;0.470498
0.094753;0.471629
0.098021;0.47319
0.098021;0.474191
0.098021;0.477415
0.101288;0.478571
0.101288;0.478571
0.101288;0.47946
0.101288;0.4832
0.101288;0.483954
0.101288;0.486646
0.101288;0.48845
0.104556;0.489013
0.104556;0.492029
0.104556;0.492029
0.104556;0.494799
0.104556;0.49741
0.104556;0.49741
0.107823;0.49741
0.107823;0.49741
0.11109;0.498839
0.11109;0.500586
0.114358;0.502791
0.114358;0.505481
0.114358;0.506371
0.114358;0.506371
0.114358;0.508172
0.114358;0.508172
0.114358;0.510863
0.117625;0.512155
0.117625;0.515357
0.120892;0.516244
0.120892;0.516244
0.120892;0.517938
0.12416;0.518934
0.12416;0.521624
0.127427;0.523724
0.127427;0.524314
0.127427;0.524314
0.127427;0.524314
0.127427;0.526088
0.130694;0.527004
0.130694;0.529506
0.133962;0.529694
0.133962;0.532385
0.133962;0.532385
0.133962;0.533272
0.133962;0.535289
0.137229;0.537765
0.137229;0.540455
0.137229;0.540455
0.137229;0.541074
0.140497;0.542258
0.140497;0.543144
0.140497;0.543925
0.143764;0.545834
0.143764;0.546858
0.143764;0.549735
0.143764;0.551214
0.143764;0.551214
0.143764;0.551214
0.143764;0.551214
0.143764;0.551214
0.147031;0.551214
0.147031;0.551214
0.150299;0.551214
0.150299;0.551214
0.150299;0.551214
0.150299;0.551214
0.153566;0.551214
0.153566;0.551214
0.153566;0.551214
0.153566;0.551214
0.156833;0.551214
0.156833;0.551214
0.156833;0.551214
0.156833;0.551214
0.156833;0.551214
0.156833;0.551214
0.160101;0.551214
0.160101;0.551214
0.163368;0.551214
0.163368;0.551214
0.163368;0.551214
0.166635;0.551214
0.166635;0.552639
0.166635;0.556594
0.169903;0.558421
0.169903;0.559284
0.169903;0.561973
0.17317;0.564204
0.17317;0.564661
0.17317;0.570012
0.17317;0.57004
0.17317;0.572729
0.176437;0.575419
0.176437;0.57566
0.179705;0.575796
0.182972;0.577288
0.182972;0.578108
0.18624;0.578108
0.18624;0.578108
0.189507;0.580797
0.189507;0.581577
0.189507;0.583691
0.189507;0.586175
0.192774;0.586175
0.192774;0.586456
0.192774;0.587359
0.192774;0.590037
0.192774;0.591554
0.192774;0.59314
0.196042;0.594242
0.196042;0.596932
0.196042;0.59892
0.196042;0.59962
0.196042;0.600105
0.199309;0.601505
0.199309;0.60273
0.199309;0.603245
0.199309;0.604702
0.202576;0.604999
0.202576;0.604999
0.202576;0.607686
0.205844;0.607686
0.205844;0.609786
0.205844;0.610484
0.205844;0.613064
0.205844;0.615309
0.205844;0.615754
0.209111;0.616264
0.212378;0.616504
0.212378;0.616504
0.212378;0.616504
0.215646;0.616504
0.215646;0.616504
0.218913;0.616504
0.218913;0.616504
0.218913;0.616504
0.218913;0.617584
0.222181;0.618442
0.222181;0.618442
0.222181;0.619742
0.225448;0.621131
0.225448;0.621131
0.225448;0.622045
0.225448;0.62359
0.228715;0.624057
0.228715;0.624544
0.228715;0.626507
0.228715;0.627825
0.231983;0.62911
0.23525;0.629196
0.23525;0.631886
0.23525;0.631886
0.238517;0.631886
0.238517;0.632689
0.241785;0.633604
0.245052;0.634574
0.248319;0.634846
0.248319;0.637393
0.248319;0.639163
0.248319;0.639385
0.251587;0.639949
0.251587;0.642637
0.251587;0.642914
0.251587;0.64348
0.254854;0.644254
0.254854;0.644766
0.254854;0.645192
0.254854;0.645328
0.258122;0.648014
0.258122;0.648982
0.258122;0.650703
0.258122;0.650972
0.258122;0.651193
0.258122;0.653953
0.258122;0.655347
0.261389;0.656081
0.261389;0.656715
0.261389;0.656752
0.261389;0.658769
0.261389;0.658769
0.264656;0.661457
0.264656;0.662533
0.264656;0.664144
0.264656;0.664905
0.267924;0.664995
0.267924;0.665055
0.267924;0.668293
0.267924;0.668293
0.267924;0.668293
0.271191;0.668293
0.274458;0.668293
0.274458;0.668293
0.274458;0.668293
0.277726;0.668293
0.277726;0.668293
0.277726;0.668293
0.277726;0.668293
0.280993;0.668293
0.280993;0.668293
0.280993;0.668293
0.28426;0.668293
0.287528;0.668293
0.287528;0.668293
0.287528;0.668293
0.290795;0.668293
0.29733;0.668293
0.29733;0.668293
0.29733;0.668293
0.300597;0.668293
0.300597;0.668293
0.300597;0.66831
0.300597;0.669414
0.303865;0.670516
0.307132;0.673276
0.307132;0.673276
0.310399;0.673276
0.310399;0.673276
0.310399;0.673382
0.313667;0.673418
0.313667;0.67365
0.313667;0.67409
0.316934;0.676034
0.320201;0.678795
0.320201;0.678795
0.320201;0.679069
0.320201;0.679869
0.323469;0.680273
0.326736;0.680423
0.326736;0.680634
0.326736;0.681554
0.326736;0.681554
0.326736;0.684316
0.326736;0.684897
0.330003;0.685649
0.330003;0.685649
0.330003;0.685649
0.333271;0.685649
0.333271;0.685649
0.336538;0.687075
0.336538;0.687075
0.336538;0.688337
0.336538;0.689608
0.336538;0.689835
0.336538;0.69185
0.339806;0.692596
0.343073;0.692596
0.343073;0.692596
0.343073;0.695354
0.34634;0.696338
0.34634;0.69788
0.34634;0.698115
0.34634;0.69909
0.349608;0.699744
0.349608;0.700824
0.349608;0.700876
0.349608;0.700876
0.352875;0.700876
0.352875;0.703324
0.352875;0.703634
0.356142;0.706393
0.356142;0.706393
0.356142;0.706432
0.356142;0.708833
0.356142;0.709155
0.35941;0.709155
0.35941;0.71253
0.35941;0.71253
0.35941;0.714673
0.362677;0.714673
0.362677;0.714673
0.362677;0.71517
0.365944;0.715217
0.365944;0.716199
0.365944;0.717435
0.365944;0.717573
0.365944;0.720194
0.372479;0.720194
0.372479;0.720194
0.372479;0.720194
0.372479;0.720194
0.375747;0.720363
0.375747;0.720594
0.375747;0.722136
0.375747;0.722136
0.375747;0.722136
0.375747;0.722136
0.379014;0.722136
0.379014;0.722136
0.382281;0.722136
0.385549;0.722136
0.385549;0.722136
0.385549;0.722136
0.388816;0.722312
0.388816;0.722953
0.388816;0.723476
0.395351;0.724585
0.395351;0.725693
0.395351;0.725712
0.395351;0.725969
0.395351;0.725969
0.395351;0.728082
0.395351;0.728473
0.395351;0.728473
0.398618;0.728473
0.405153;0.728473
0.405153;0.728894
0.40842;0.732204
0.40842;0.733611
0.40842;0.739407
0.40842;0.739407
0.40842;0.739442
0.40842;0.739511
0.40842;0.740008
0.40842;0.741656
0.40842;0.742094
0.411687;0.742738
0.411687;0.743139
0.414955;0.744466
0.414955;0.746744
0.414955;0.74747
0.418222;0.748945
0.42149;0.751504
0.42149;0.752847
