"qsim";"qobs"
0.030399;0.013421
0.031285;0.01345
0.03217;0.0135
0.033056;0.013918
0.033941;0.014162
0.034826;0.015095
0.034826;0.015617
0.035712;0.016547
0.036892;0.016671
0.037778;0.016997
0.038958;0.017002
0.040139;0.017156
0.041319;0.017273
0.042205;0.01809
0.043681;0.018109
0.044861;0.018573
0.045451;0.018602
0.046042;0.018621
0.046337;0.01868
0.047222;0.018704
0.048108;0.018762
0.048698;0.018919
0.049878;0.018925
0.050174;0.018984
0.050469;0.019012
0.051059;0.019189
0.051354;0.019409
0.051649;0.019572
0.052535;0.019602
0.05283;0.019663
0.05283;0.019865
0.05342;0.020317
0.05401;0.020557
0.054306;0.020579
0.054601;0.020688
0.055191;0.020927
0.055781;0.021147
0.056076;0.0213
0.056667;0.021546
0.057552;0.021552
0.058733;0.021738
0.059323;0.022043
0.060799;0.02231
0.060799;0.022375
0.062569;0.02243
0.06316;0.023337
0.06434;0.023419
0.065521;0.023628
0.066111;0.023664
0.066997;0.023738
0.067882;0.023797
0.068177;0.024435
0.068177;0.02446
0.069063;0.024913
0.069948;0.025132
0.070243;0.025156
0.070538;0.025384
0.071424;0.025558
0.072014;0.025586
0.072014;0.025663
0.072604;0.026264
0.073194;0.026271
0.07408;0.026288
0.07408;0.026352
0.07408;0.026559
0.07526;0.02684
0.076146;0.026908
0.076441;0.026998
0.076736;0.027014
0.077917;0.027057
0.077917;0.027146
0.078212;0.027381
0.078212;0.027392
0.078507;0.027395
0.079097;0.027627
0.079392;0.027973
0.079392;0.028118
0.079688;0.028152
0.080278;0.028302
0.080278;0.028409
0.080573;0.029098
0.081163;0.029114
0.081458;0.029292
0.081458;0.029363
0.081753;0.029448
0.082049;0.029555
0.082344;0.02972
0.082344;0.029842
0.082639;0.029947
0.082639;0.030092
0.082934;0.030115
0.083819;0.03074
0.083819;0.031016
0.08441;0.031135
0.084705;0.031287
0.085;0.031469
0.085295;0.031666
0.08559;0.031806
0.08559;0.031826
0.085885;0.031997
0.086181;0.032099
0.086771;0.032148
0.087066;0.032211
0.087361;0.03237
0.087361;0.032847
0.087361;0.032874
0.087656;0.032913
0.087656;0.032915
0.088247;0.032926
0.088247;0.032983
0.088247;0.033179
0.088247;0.033404
0.088837;0.033482
0.088837;0.033506
0.089132;0.033603
0.089132;0.033667
0.089427;0.033667
0.089722;0.033686
0.090017;0.033984
0.090017;0.033995
0.090017;0.034152
0.090312;0.03427
0.090608;0.034304
0.090608;0.034549
0.090608;0.034748
0.090608;0.035161
0.091198;0.035244
0.091198;0.035289
0.091493;0.035551
0.091493;0.035747
0.092083;0.035908
0.092083;0.036009
0.092083;0.036065
0.092378;0.036173
0.092674;0.036568
0.092674;0.036852
0.092674;0.036881
0.092674;0.037521
0.093264;0.037569
0.093559;0.037834
0.093854;0.03795
0.093854;0.037998
0.093854;0.038047
0.094444;0.038047
0.094444;0.038051
0.09474;0.038091
0.095035;0.038201
0.095035;0.038292
0.09533;0.038363
0.09533;0.038411
0.09533;0.038503
0.09533;0.038654
0.09533;0.038658
0.09592;0.038665
0.09651;0.038844
0.097101;0.03893
0.097101;0.039097
0.097396;0.039387
0.097691;0.039697
0.097691;0.040112
0.097986;0.040447
0.097986;0.040571
0.098281;0.040655
0.098576;0.040707
0.098576;0.040825
0.098576;0.041144
0.098872;0.041279
0.099167;0.041508
0.099167;0.041726
0.099167;0.041751
0.100347;0.041756
0.100347;0.041766
0.100347;0.041779
0.100347;0.042044
0.100642;0.042168
0.100642;0.042179
0.100938;0.042243
