"qsim";"qobs"
0.218056;1.5e-05
0.223611;1.5e-05
0.226389;1.5e-05
0.230556;1.5e-05
0.234722;1.5e-05
0.2375;1.5e-05
0.238889;1.5e-05
0.240278;1.5e-05
0.243056;1.5e-05
0.247222;1.5e-05
0.247222;1.5e-05
0.251389;1.5e-05
0.255556;1.5e-05
0.256944;1.5e-05
0.256944;1.5e-05
0.258333;1.5e-05
0.258333;1.5e-05
0.259722;1.5e-05
0.261111;1.5e-05
0.2625;5.8e-05
0.2625;5.8e-05
0.263889;5.8e-05
0.265278;0.000157
0.266667;0.000157
0.266667;0.000157
0.269444;0.000157
0.269444;0.000157
0.273611;0.000337
0.274067;0.000337
0.275;0.000337
0.275;0.00063
0.275;0.00063
0.277778;0.00063
0.277778;0.00063
0.279167;0.001068
0.279632;0.001068
0.281023;0.001068
0.281944;0.001068
0.281944;0.001689
0.283806;0.001689
0.284722;0.001689
0.286111;0.001689
0.286588;0.002529
0.2875;0.002529
0.2875;0.002529
0.28937;0.003629
0.290278;0.003629
0.290762;0.003629
0.290762;0.005032
0.292153;0.005032
0.293056;0.005032
0.294444;0.005032
0.294935;0.005032
0.294935;0.006781
0.294935;0.006781
0.296326;0.006781
0.297222;0.008923
0.297718;0.008923
0.299109;0.008923
0.299109;0.008923
0.3;0.011504
0.3005;0.011504
0.301389;0.011504
0.301891;0.011504
0.301891;0.014574
0.301891;0.014574
0.303282;0.014574
0.305556;0.014824
0.305556;0.015058
0.305556;0.015293
0.306065;0.018184
0.306065;0.018184
0.306944;0.018184
0.308333;0.021323
0.308847;0.022386
0.308847;0.022386
0.309722;0.022386
0.310238;0.027232
0.31163;0.027232
0.3125;0.027232
0.313021;0.027232
0.315278;0.027232
0.315278;0.032779
0.315278;0.032779
0.316667;0.032779
0.319444;0.03561
0.319444;0.039081
0.319977;0.039081
0.319977;0.039081
0.320833;0.046198
0.322759;0.046198
0.32415;0.046198
0.32415;0.046198
0.32415;0.050716
0.325;0.054172
0.325542;0.054187
0.326933;0.054187
0.326933;0.054187
0.327778;0.054187
0.327778;0.063108
0.328324;0.063108
0.328324;0.064291
0.329167;0.068764
0.329715;0.070971
0.329715;0.076554
0.331944;0.083993
0.332498;0.083993
0.332498;0.0851
0.332498;0.085179
0.333889;0.086
0.333889;0.087195
0.333889;0.0876
0.333889;0.0887
0.333889;0.0901
0.333889;0.094668
0.334722;0.0949
0.334722;0.096083
0.33528;0.096083
0.336111;0.0987
0.336111;0.1028
0.336111;0.103905
0.336671;0.104938
0.338889;0.105
0.339454;0.105078
0.340845;0.105246
0.340845;0.106279
0.341667;0.106576
0.341667;0.1067
0.342236;0.107075
