"qsim";"qobs"
0.310333;0.4105
0.312148;0.4131
0.312148;0.4135
0.315778;0.4196
0.317593;0.4226
0.319407;0.425
0.323037;0.4275
0.323037;0.4284
0.324852;0.4284
0.332111;0.4368
0.332111;0.4409
0.333926;0.4411
0.335741;0.4421
0.335741;0.4431
0.337556;0.444
0.337556;0.4459
0.337556;0.4491
0.343;0.4498
0.344815;0.4498
0.344815;0.4517
0.34663;0.452
0.34663;0.4525
0.350259;0.4544
0.350259;0.4594
0.352074;0.4618
0.352074;0.4625
0.352074;0.4655
0.353889;0.4693
0.353889;0.4713
0.357519;0.4734
0.357519;0.4759
0.359333;0.476015
0.361148;0.476911
0.361148;0.477808
0.361148;0.478706
0.362963;0.479605
0.364778;0.4805
0.364778;0.480505
0.364778;0.481406
0.366593;0.4823
0.368407;0.482309
0.370222;0.483213
0.370222;0.4838
0.370222;0.4848
0.370222;0.4905
0.370222;0.4925
0.370222;0.496746
0.372037;0.497667
0.372037;0.49859
0.373852;0.499514
0.375667;0.5
0.375667;0.500439
0.375667;0.501365
0.377481;0.502292
0.377481;0.50322
0.379296;0.504149
0.381111;0.50508
0.381111;0.506011
0.384741;0.5062
0.384741;0.5063
0.384741;0.5068
0.386556;0.506944
0.386556;0.507878
0.386556;0.508813
0.386556;0.509
0.386556;0.509749
0.38837;0.5114
0.38837;0.5115
0.38837;0.5125
0.390185;0.5128
0.390185;0.513
0.390185;0.5151
0.390185;0.5154
0.390185;0.5165
0.392;0.5186
0.393815;0.518854
0.393815;0.518854
0.393815;0.518854
0.393815;0.518854
0.397444;0.518854
0.397444;0.518854
0.397444;0.518854
0.397444;0.518854
0.397444;0.518854
0.397444;0.519014
0.399259;0.519175
0.399259;0.519963
0.399259;0.520123
0.401074;0.5207
0.401074;0.520913
0.401074;0.521073
0.401074;0.5212
0.402889;0.521864
0.402889;0.522024
0.404704;0.5222
0.404704;0.522816
0.404704;0.522977
0.404704;0.523769
0.404704;0.52393
0.404704;0.524723
0.404704;0.524885
0.406519;0.525679
0.406519;0.52584
0.406519;0.526635
0.408333;0.5268
0.408333;0.527593
0.408333;0.5283
0.408333;0.528552
0.410148;0.529512
0.410148;0.530474
0.410148;0.5309
0.411963;0.531436
0.411963;0.5317
0.411963;0.532
0.411963;0.532
0.413778;0.532
0.413778;0.532
0.413778;0.532
0.413778;0.532
0.413778;0.5323
0.413778;0.5328
0.413778;0.5335
0.415593;0.53504
0.415593;0.53504
0.415593;0.5365
0.415593;0.53656
0.415593;0.537
0.415593;0.5371
0.417407;0.5374
0.417407;0.53808
0.417407;0.53808
0.419222;0.5393
0.419222;0.5396
0.419222;0.5396
0.419222;0.5396
0.419222;0.5396
0.419222;0.5396
0.419222;0.54112
0.421037;0.542
0.421037;0.5433
0.421037;0.543888
0.421037;0.544
0.422852;0.54416
0.422852;0.544866
0.424667;0.545846
0.424667;0.546827
0.424667;0.5472
0.424667;0.5472
0.424667;0.5472
0.424667;0.5478
0.424667;0.547809
0.426481;0.5483
0.426481;0.54872
0.426481;0.548792
0.426481;0.549776
0.426481;0.55024
0.428296;0.55024
0.428296;0.550762
0.428296;0.5512
0.428296;0.551749
0.428296;0.552736
0.428296;0.553725
0.430111;0.5541
0.430111;0.554716
0.430111;0.5548
0.430111;0.555539
0.431926;0.555539
0.431926;0.555539
0.431926;0.555539
0.431926;0.555539
0.433741;0.555539
0.433741;0.555539
0.433741;0.555539
0.433741;0.555539
0.433741;0.555539
0.433741;0.555539
0.433741;0.555539
0.433741;0.555539
0.435556;0.555539
0.435556;0.555539
0.43737;0.555539
0.43737;0.555539
0.43737;0.555539
0.43737;0.555539
0.43737;0.555539
0.439185;0.555539
0.439185;0.55784
0.439185;0.55784
0.439185;0.559
0.439185;0.5617
0.439185;0.5618
0.441;0.5622
0.441;0.5624
0.441;0.563849
0.442815;0.5639
0.442815;0.564852
0.442815;0.56544
0.442815;0.56544
0.442815;0.56544
0.442815;0.56544
0.442815;0.56544
0.442815;0.565855
0.44463;0.566859
0.44463;0.56696
0.44463;0.567865
0.44463;0.5684
0.44463;0.5687
0.446444;0.568872
0.446444;0.56988
0.446444;0.57
0.446444;0.57
0.446444;0.57
0.448259;0.570889
0.448259;0.5709
0.448259;0.571
0.448259;0.5714
0.448259;0.5719
0.448259;0.572911
0.448259;0.57304
0.450074;0.573924
0.450074;0.5745
0.451889;0.5754
0.451889;0.57561
0.451889;0.576626
0.451889;0.5776
0.453704;0.5776
0.453704;0.577643
0.453704;0.578
0.455519;0.578661
0.455519;0.579681
0.455519;0.5805
0.455519;0.58064
0.455519;0.5807
0.455519;0.580701
0.457333;0.5825
0.457333;0.5837
0.459148;0.5844
0.459148;0.5852
0.459148;0.588974
0.459148;0.59
0.459148;0.5902
0.460963;0.5923
0.460963;0.5933
0.460963;0.593904
0.462778;0.593904
0.462778;0.593904
0.462778;0.593904
0.464593;0.593904
0.464593;0.593904
0.464593;0.593904
0.464593;0.593904
0.464593;0.593904
0.466407;0.593904
0.466407;0.593904
0.468222;0.593904
0.468222;0.593904
0.468222;0.593904
0.468222;0.593904
0.470037;0.593904
0.470037;0.593904
0.470037;0.593904
0.470037;0.593904
0.470037;0.593904
0.471852;0.593904
0.471852;0.593904
0.471852;0.593904
0.471852;0.593904
0.471852;0.593904
0.473667;0.593904
0.473667;0.593904
0.475481;0.593904
0.475481;0.593904
0.475481;0.593904
0.475481;0.593904
0.477296;0.593904
0.477296;0.593904
0.477296;0.593904
0.477296;0.593904
0.477296;0.593904
0.477296;0.593904
0.477296;0.593904
0.479111;0.593904
0.479111;0.593904
0.479111;0.593904
0.479111;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.480926;0.593904
0.482741;0.593904
0.482741;0.593904
0.482741;0.593904
0.482741;0.593904
0.482741;0.593904
0.482741;0.593904
0.482741;0.593904
0.484556;0.593904
0.484556;0.593904
0.484556;0.593904
0.484556;0.5946
0.484556;0.5957
0.484556;0.59584
0.48637;0.59736
0.48637;0.5984
0.48637;0.5996
0.48637;0.6004
0.488185;0.6004
0.488185;0.6004
0.488185;0.6004
0.488185;0.602
0.49;0.6035
0.49;0.6053
0.49;0.6062
0.491815;0.607
0.491815;0.6093
0.491815;0.609307
0.49363;0.6094
0.49363;0.609589
0.49363;0.610644
0.49363;0.6112
0.49363;0.6115
0.49363;0.6117
0.49363;0.612758
0.495444;0.6128
0.495444;0.613
0.495444;0.613817
