"qsim";"qobs"
0.097593;0.141188
0.099028;0.149079
0.101898;0.149079
0.103333;0.149079
0.103333;0.149079
0.103333;0.149079
0.103333;0.149079
0.106204;0.149079
0.109074;0.149079
0.109074;0.149079
0.110509;0.149079
0.110509;0.149079
0.111944;0.149079
0.11338;0.149079
0.11338;0.149079
0.114815;0.149079
0.11625;0.162263
0.117685;0.162263
0.117685;0.162263
0.11912;0.162263
0.11912;0.162263
0.120556;0.162263
0.120556;0.162263
0.121991;0.162263
0.121991;0.162263
0.123426;0.162263
0.123426;0.162263
0.124861;0.162263
0.126296;0.162263
0.127731;0.162263
0.127731;0.162263
0.127731;0.162263
0.129167;0.162263
0.129167;0.162263
0.129167;0.162263
0.129167;0.162263
0.129167;0.162263
0.130602;0.162263
0.130602;0.162263
0.132037;0.162263
0.132037;0.162263
0.133472;0.162263
0.134907;0.162263
0.136343;0.171697
0.136343;0.171697
0.136343;0.171697
0.136343;0.171697
0.136343;0.171697
0.137778;0.171697
0.137778;0.171697
0.139213;0.171697
0.139213;0.171697
0.139213;0.171697
0.139213;0.171697
0.140648;0.171697
0.140648;0.171697
0.140648;0.171697
0.142083;0.171697
0.142083;0.171697
0.142083;0.171697
0.142083;0.171697
0.142083;0.171697
0.142083;0.171697
0.142083;0.171697
0.142083;0.171697
0.143519;0.171697
0.143519;0.171697
0.143519;0.171697
0.143519;0.171697
0.143519;0.171697
0.143519;0.171697
0.143519;0.171697
0.144954;0.171697
0.144954;0.171697
0.144954;0.184816
0.146389;0.184816
0.146389;0.184816
0.146389;0.184816
0.146389;0.184816
0.146389;0.184816
0.146389;0.184816
0.146389;0.184816
0.147824;0.184816
0.147824;0.184816
0.147824;0.184816
0.147824;0.184816
0.147824;0.184816
0.147824;0.184816
0.147824;0.184816
0.147824;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.149259;0.184816
0.150694;0.184816
0.150694;0.184816
0.150694;0.184816
0.150694;0.184816
0.150694;0.184816
0.15213;0.184816
0.15213;0.184816
0.15213;0.196314
0.15213;0.196314
0.15213;0.196314
0.15213;0.196314
0.15213;0.196314
0.15213;0.196314
0.153565;0.196314
0.153565;0.196314
0.153565;0.196314
0.153565;0.196314
0.153565;0.196314
0.153565;0.196314
0.153565;0.196314
0.155;0.196314
0.155;0.196314
0.155;0.196314
0.155;0.196314
0.155;0.196314
0.155;0.196314
0.155;0.196314
0.155;0.200994
0.155;0.202183
0.156435;0.202291
0.156435;0.202723
0.156435;0.203156
0.156435;0.204129
0.156435;0.205535
0.156435;0.206618
0.156435;0.208849
0.156435;0.208849
0.156435;0.208849
0.156435;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.15787;0.208849
0.159306;0.208849
0.159306;0.208849
0.159306;0.208849
0.159306;0.208849
0.159306;0.208849
0.160741;0.208849
0.160741;0.208849
0.160741;0.208849
0.160741;0.208849
0.160741;0.208849
0.160741;0.208849
0.162176;0.208849
0.162176;0.208849
0.162176;0.208849
0.162176;0.211274
0.162176;0.211708
0.162176;0.214744
0.162176;0.216371
0.162176;0.218325
0.162176;0.219085
0.163611;0.220388
0.163611;0.220911
0.163611;0.220911
0.163611;0.220911
0.163611;0.220911
0.163611;0.220911
0.163611;0.220911
0.165046;0.220911
0.165046;0.220911
0.165046;0.220911
0.165046;0.220911
0.165046;0.220911
0.165046;0.220911
0.166481;0.220911
0.166481;0.220911
0.166481;0.220911
0.166481;0.220911
0.166481;0.220911
0.166481;0.220911
0.166481;0.220911
0.167917;0.220911
0.167917;0.220911
0.167917;0.220911
0.167917;0.220911
0.167917;0.220911
0.167917;0.220911
0.169352;0.220911
0.169352;0.220911
0.169352;0.220911
0.169352;0.220911
0.169352;0.220911
0.169352;0.220911
0.169352;0.220911
0.170787;0.220911
0.170787;0.220911
0.170787;0.220911
0.170787;0.220911
0.170787;0.220911
0.170787;0.220911
0.170787;0.220911
0.170787;0.220911
0.172222;0.220911
0.172222;0.220911
0.172222;0.220911
0.172222;0.220911
0.172222;0.220911
0.172222;0.220911
0.172222;0.222994
0.172222;0.222994
0.172222;0.222994
0.172222;0.222994
0.172222;0.222994
0.173657;0.222994
0.173657;0.222994
0.173657;0.222994
0.173657;0.222994
0.173657;0.222994
0.173657;0.222994
0.173657;0.22354
0.173657;0.224627
0.173657;0.224627
0.173657;0.224627
0.173657;0.22702
0.173657;0.228761
0.173657;0.232028
0.173657;0.234208
0.173657;0.234363
0.173657;0.234363
0.173657;0.234363
0.173657;0.234363
0.175093;0.234363
0.175093;0.234363
0.175093;0.234363
0.175093;0.234363
0.175093;0.234363
0.176528;0.234363
0.176528;0.234363
0.176528;0.234363
0.176528;0.234363
0.176528;0.234363
0.176528;0.234363
0.177963;0.234363
0.177963;0.234363
0.177963;0.234363
0.177963;0.234363
0.177963;0.234363
0.177963;0.234363
0.177963;0.234363
0.179398;0.234363
0.179398;0.234363
