"qsim";"qobs"
0;0.004822
0;0.004898
0;0.005006
8.8e-05;0.005155
8.8e-05;0.005168
8.8e-05;0.005453
8.8e-05;0.005685
8.8e-05;0.005835
8.8e-05;0.006319
8.8e-05;0.00636
8.8e-05;0.00646
8.8e-05;0.006936
8.8e-05;0.007072
8.8e-05;0.00731
8.8e-05;0.007691
0.000176;0.007718
0.000176;0.007786
0.000176;0.008604
0.000176;0.008644
0.000176;0.008647
0.000176;0.008762
0.000176;0.009442
0.000176;0.009558
0.000176;0.00962
0.000176;0.010149
0.000176;0.01017
0.000176;0.010339
0.000176;0.010347
0.000176;0.010359
0.000176;0.010532
0.000176;0.010564
0.000176;0.010622
0.000176;0.010754
0.000176;0.01077
0.000176;0.010945
0.000176;0.011048
0.000176;0.011198
0.000176;0.011215
0.000176;0.011453
0.000176;0.0115
0.000176;0.011512
0.000176;0.011662
0.000176;0.011781
0.000176;0.011965
0.000176;0.01198
0.000264;0.012004
0.000264;0.012091
0.000264;0.012184
0.000264;0.012297
0.000264;0.012346
0.000264;0.012397
0.000264;0.012435
0.000264;0.012514
0.000264;0.012576
0.000264;0.012635
0.000264;0.012685
0.000264;0.012694
0.000264;0.01272
0.000264;0.012765
0.000264;0.012768
0.000264;0.012822
0.000264;0.012858
0.000264;0.01287
0.000264;0.012893
0.000264;0.012902
0.000264;0.012951
0.000264;0.012963
0.000264;0.012972
0.000352;0.012999
0.000352;0.013073
0.000352;0.013108
0.000352;0.013112
0.000352;0.013117
0.000352;0.013128
0.000352;0.013128
0.000352;0.013134
0.000352;0.013203
0.000352;0.013221
0.000352;0.013227
0.000352;0.013254
0.000352;0.013274
0.000352;0.0133
0.000352;0.0133
0.00044;0.013301
0.00044;0.013313
0.00044;0.013364
0.00044;0.013365
0.00044;0.013379
0.00044;0.013411
0.00044;0.013448
0.00044;0.013459
0.00044;0.013477
0.00044;0.013523
0.00044;0.013525
0.000528;0.01354
0.000528;0.01356
0.000528;0.013564
0.000528;0.013578
0.000528;0.013611
0.000528;0.013622
0.000528;0.013638
0.000528;0.013667
0.000528;0.013696
0.000616;0.013777
0.000616;0.01387
0.000616;0.013915
0.000616;0.013921
0.000616;0.013947
0.000616;0.013955
0.000616;0.013964
