"qsim";"qobs"
0.028194;0.001764
0.028843;0.001905
0.029491;0.003807
0.030463;0.006685
0.031759;0.007486
0.032731;0.008594
0.032731;0.009888
0.033704;0.010347
0.034676;0.010357
0.034676;0.011688
0.035;0.012277
0.035648;0.012886
0.035972;0.013029
0.035972;0.013088
0.036296;0.014371
0.036944;0.014849
0.036944;0.015136
0.037269;0.01655
0.037593;0.016982
0.037593;0.017603
0.037917;0.019467
0.038241;0.019908
0.038241;0.019908
0.038565;0.019908
0.038889;0.020192
0.038889;0.020192
0.039213;0.020192
0.039213;0.020192
0.040509;0.020192
0.040509;0.020192
0.040509;0.020477
0.040509;0.020477
0.041481;0.020477
0.041481;0.020477
0.041481;0.020477
0.041806;0.020477
0.042454;0.02054
0.042454;0.020761
0.042778;0.020761
0.043426;0.020884
0.044074;0.020884
0.044074;0.020884
0.044398;0.020884
0.044722;0.020884
0.044722;0.020884
0.044722;0.020884
0.045046;0.020884
0.045046;0.020884
0.045046;0.020884
0.04537;0.020884
0.04537;0.020884
0.04537;0.020884
0.04537;0.020884
0.04537;0.020884
0.045694;0.020884
0.046019;0.020884
0.046019;0.020884
0.046343;0.020884
0.046343;0.020884
0.046343;0.020884
0.046343;0.020884
0.046667;0.020884
0.046991;0.020884
0.046991;0.020884
0.046991;0.020884
0.047315;0.020884
0.047639;0.020884
0.047639;0.020884
0.047639;0.020884
0.047963;0.020884
0.047963;0.020884
0.047963;0.021036
0.048287;0.021252
0.048287;0.023062
0.048287;0.024006
0.048287;0.024509
0.048611;0.025168
0.048935;0.025218
0.048935;0.025535
0.049259;0.026835
0.049259;0.027381
0.049259;0.028322
0.049259;0.028322
0.049583;0.028322
0.049583;0.028322
0.050556;0.028322
0.050556;0.028322
0.05088;0.028322
0.05088;0.028322
0.051204;0.028322
0.051204;0.028322
0.051528;0.028322
0.051852;0.028322
0.051852;0.028322
0.051852;0.028322
0.052176;0.028322
0.0525;0.028322
0.0525;0.028322
0.052824;0.028322
0.053796;0.028322
0.053796;0.028322
0.053796;0.028322
0.053796;0.028322
0.05412;0.028322
0.05412;0.028322
0.05412;0.028322
0.05412;0.028322
0.05412;0.028322
0.054444;0.028322
0.054444;0.028322
0.054444;0.028322
0.055093;0.028322
0.055417;0.028322
0.055417;0.028322
0.055417;0.028322
0.055417;0.028322
0.055741;0.028322
0.055741;0.028322
0.055741;0.028322
0.056065;0.028322
0.056065;0.028322
0.056065;0.028322
0.056065;0.028322
0.056065;0.028322
0.056065;0.028322
0.056389;0.028322
0.056389;0.028322
0.056389;0.028322
0.056713;0.028322
0.056713;0.028322
0.056713;0.028322
0.057037;0.028322
0.057361;0.028322
0.057361;0.028322
0.057361;0.028322
0.057685;0.028322
0.057685;0.028322
0.057685;0.028322
0.058009;0.028322
0.058009;0.028322
0.058009;0.028322
0.058009;0.028322
0.058009;0.028508
0.058009;0.028715
0.058333;0.02874
0.058333;0.028908
0.058333;0.029022
0.058333;0.029207
0.058333;0.029223
0.058657;0.029624
0.058981;0.03165
0.058981;0.03187
0.059306;0.032391
0.059306;0.035203
0.05963;0.036502
0.05963;0.036635
0.05963;0.037368
0.05963;0.037368
0.059954;0.037368
0.060278;0.037368
0.060278;0.037368
0.060278;0.037368
0.060278;0.037368
0.060278;0.037368
0.060602;0.037368
0.060926;0.037368
0.060926;0.037368
0.060926;0.037368
0.060926;0.037368
0.060926;0.037368
0.060926;0.037368
0.060926;0.037368
0.061574;0.037368
0.061574;0.037368
0.061574;0.037368
0.061898;0.037368
0.061898;0.037368
0.062222;0.037368
0.062222;0.037368
0.062222;0.037368
0.062222;0.037368
0.062546;0.037368
0.062546;0.037368
0.06287;0.037368
0.063194;0.037368
0.063194;0.037368
0.063194;0.037368
0.063194;0.037368
0.063194;0.037368
0.063519;0.037368
0.063519;0.037368
0.063519;0.037368
0.063519;0.037368
0.063519;0.037368
0.064167;0.037368
0.064167;0.037368
0.064167;0.037368
0.064491;0.037368
0.064815;0.037368
0.064815;0.037368
0.064815;0.037368
0.065139;0.037368
0.065139;0.037368
0.065139;0.037368
0.065463;0.037368
0.065463;0.037368
0.065463;0.037368
0.065463;0.037368
0.065787;0.037368
0.065787;0.037368
0.065787;0.037368
0.065787;0.037368
0.066111;0.037368
0.066111;0.037368
0.066111;0.037368
0.066111;0.037368
0.066111;0.037368
0.066111;0.037368
0.066435;0.037368
0.066435;0.037368
0.066435;0.037368
0.066759;0.037368
0.066759;0.037368
0.066759;0.037368
0.067083;0.037368
0.067083;0.037368
0.067083;0.037368
0.067083;0.037368
0.067407;0.037368
0.067407;0.037368
0.067407;0.037368
0.067407;0.037368
0.067407;0.037368
0.067407;0.037368
0.067731;0.037368
0.067731;0.037368
0.067731;0.037368
0.067731;0.037368
0.068056;0.037368
0.068056;0.037368
0.06838;0.037368
0.06838;0.037368
0.06838;0.037368
0.068704;0.037368
0.068704;0.037368
0.068704;0.037368
0.068704;0.037368
0.069028;0.037368
0.069028;0.037368
0.069352;0.037368
0.069352;0.037368
0.069352;0.037368
0.069676;0.037368
0.069676;0.037368
0.069676;0.037368
0.069676;0.037368
0.07;0.037368
0.07;0.037368
0.07;0.037368
0.07;0.037368
0.070324;0.037368
0.070324;0.037368
