"qsim";"qobs"
0.000356;0.003055
0.000389;0.003075
0.000389;0.003123
0.000389;0.003124
0.000421;0.003136
0.000421;0.00314
0.000454;0.00314
0.000454;0.00314
0.000454;0.00314
0.000454;0.00314
0.000454;0.00314
0.000454;0.00314
0.000486;0.003143
0.000486;0.003172
0.000486;0.003201
0.000519;0.003212
0.000519;0.003213
0.000519;0.003215
0.000519;0.003218
0.000551;0.003219
0.000551;0.003222
0.000551;0.003229
0.000551;0.00323
0.000551;0.003236
0.000551;0.003238
0.000583;0.003238
0.000583;0.003249
0.000583;0.003263
0.000583;0.003265
0.000583;0.003268
0.000616;0.003268
0.000616;0.003269
0.000616;0.003271
0.000616;0.003277
0.000616;0.003284
0.000648;0.003317
0.000648;0.00332
0.000648;0.003321
0.000648;0.003326
0.000648;0.003331
0.000648;0.003336
0.000648;0.003346
0.000681;0.003361
0.000681;0.003364
0.000681;0.003376
0.000681;0.00338
0.000681;0.003384
0.000713;0.003391
0.000713;0.003396
0.000713;0.003413
0.000713;0.003416
0.000713;0.003417
0.000713;0.00344
0.000745;0.003459
0.000745;0.003466
0.000745;0.003471
0.000745;0.00349
0.000745;0.003496
0.000745;0.003496
0.000745;0.003496
0.000745;0.0035
0.000745;0.003521
0.000778;0.003524
0.000778;0.003541
0.000778;0.003551
0.000778;0.003581
0.000778;0.003587
0.000778;0.003606
0.000778;0.003619
0.000778;0.003656
0.00081;0.00366
0.00081;0.003662
0.00081;0.003669
0.00081;0.003682
0.00081;0.003682
0.00081;0.003682
0.000843;0.003682
0.000843;0.003682
0.000875;0.003682
0.000875;0.003682
0.000875;0.003682
0.000875;0.003682
0.000875;0.003682
0.000875;0.003682
0.000907;0.003682
0.000907;0.003682
0.000907;0.003682
0.000907;0.003682
0.000907;0.003682
0.00094;0.003682
0.00094;0.003682
0.00094;0.003682
0.000972;0.003682
0.000972;0.003682
0.000972;0.003682
0.000972;0.003682
0.000972;0.003682
0.001005;0.003682
0.001005;0.003682
0.001005;0.003682
0.001037;0.003682
0.001037;0.003683
0.001037;0.003698
0.001037;0.003701
0.001037;0.003703
0.001037;0.003711
0.001037;0.003713
0.001069;0.003726
0.001069;0.003727
0.001069;0.003746
0.001069;0.003759
0.001069;0.003765
0.001069;0.003787
0.001069;0.003797
0.001102;0.003814
0.001102;0.003837
0.001102;0.003841
0.001102;0.003846
0.001134;0.003899
0.001134;0.003915
0.001134;0.003929
0.001134;0.003961
0.001134;0.004005
0.001167;0.004014
0.001167;0.00403
0.001167;0.004032
0.001167;0.004033
0.001167;0.004061
0.001199;0.004068
0.001199;0.004074
0.001199;0.004075
0.001199;0.004077
0.001231;0.004082
0.001231;0.004089
0.001231;0.00409
0.001231;0.004117
0.001231;0.004118
0.001264;0.004126
0.001264;0.004146
0.001296;0.004174
0.001296;0.004174
0.001296;0.004174
0.001296;0.004176
0.001296;0.004182
0.001296;0.004187
0.001296;0.004193
0.001296;0.004201
0.001329;0.004203
0.001329;0.004203
0.001329;0.004207
0.001361;0.004228
0.001361;0.004231
0.001361;0.004236
0.001361;0.00425
0.001361;0.00426
0.001361;0.004274
0.001394;0.004275
0.001394;0.004279
0.001394;0.004283
0.001394;0.004285
0.001426;0.004285
0.001426;0.004285
0.001426;0.004292
0.001426;0.004304
0.001458;0.004313
0.001458;0.004342
0.001458;0.004344
0.001458;0.004346
0.001458;0.004354
0.001491;0.004357
0.001491;0.004373
0.001491;0.00438
0.001491;0.004383
0.001523;0.004384
0.001523;0.004388
0.001523;0.004388
0.001523;0.004411
0.001523;0.004413
0.001523;0.004418
0.001523;0.004455
0.001556;0.004455
0.001556;0.004474
0.001556;0.004476
0.001556;0.004476
0.001556;0.004479
0.001588;0.004488
0.001588;0.00449
0.001588;0.004491
0.001588;0.004492
0.00162;0.004492
0.00162;0.004492
0.00162;0.004495
0.00162;0.004501
0.00162;0.004505
0.00162;0.004505
0.00162;0.004513
0.00162;0.004522
0.00162;0.004525
0.001653;0.004529
0.001653;0.004533
0.001653;0.004535
0.001653;0.004542
0.001685;0.004544
0.001685;0.004547
0.001685;0.004555
0.001718;0.004557
0.001718;0.004565
0.001718;0.00457
0.001718;0.004576
0.001718;0.004579
0.001718;0.004585
0.001718;0.004587
0.001718;0.004596
0.00175;0.004596
0.00175;0.004598
0.00175;0.004598
0.00175;0.004598
0.00175;0.004598
0.001782;0.004598
0.001782;0.004598
