Stasjonsnr;jan;feb;mars;april;mai;juni;vinter
24.9;6.664085;4.824318;4.242296;2.958495;3.420612;3.494498;5.544889
247.3;1.229473;1.03092;0.8545633;0.8181937;1.017632;1.859574;1.092414
25.24;4.394654;3.223506;2.773214;1.871472;2.306747;2.561029;3.633637
26.20;8.187775;6.169112;5.529003;3.584085;3.698181;3.818161;6.945711
26.26;6.322766;4.819073;4.214561;2.640409;3.025186;3.194344;5.269463
26.29;7.026311;5.41916;4.897412;3.263719;3.263033;3.309824;6.016772
27.24;7.988599;6.179204;5.561839;3.62075;3.682936;3.914043;6.92754
28.7;5.527646;4.503181;4.084334;2.960463;2.916488;3.164588;5.037833
3.22;1.933881;1.513406;1.578869;1.596698;2.006244;2.529285;1.953293
311.46;1.155248;0.932968;0.8676063;1.105973;1.762798;2.486191;1.161778
311.6;1.288183;1.061052;0.9666973;1.069931;1.643469;2.441948;1.22919
313.10;1.553574;1.285368;1.215058;1.402145;1.876324;2.485271;1.600464
42.2;8.633152;7.129416;6.857523;4.259174;3.816461;4.67925;7.715878
48.1;6.870671;5.543482;5.119012;3.073501;2.892946;3.318599;5.922164
48.5;6.197477;5.00594;4.577599;2.770226;2.678615;3.114709;5.62
50.1;5.221854;4.224711;3.934714;2.266337;2.238747;2.711443;4.50667
50.13;3.055381;2.380012;2.308558;1.417578;1.565711;2.099704;2.576458
55.5;8.518593;7.231246;6.787097;4.493796;4.062052;4.82858;7.816254
6.10;2.279182;1.801322;1.877877;1.989177;2.330516;2.993292;2.30539
62.10;6.828607;5.55709;5.183031;3.030129;2.91786;3.311695;5.933889
62.5;6.151126;4.883933;4.53339;2.66495;2.628429;3.081554;5.237982
72.5;4.476295;3.480617;3.263616;1.832532;2.042098;2.57035;3.746453
73.27;2.206288;1.760748;1.565715;1.131321;1.335327;2.025469;1.857074
75.23;3.410707;2.28;2.393264;1.418299;1.49147;1.974427;2.846514
76.5;4.510735;3.740588;3.31292;1.999781;1.827136;2.242902;3.849651
77.3;5.44722;4.525466;4.021069;2.457117;2.269386;2.640364;4.672302
78.8;5.939953;5.076392;4.562963;2.807738;2.476214;2.916607;5.220439
79.3;6.623441;5.636867;5.129355;3.118648;2.843373;3.345343;5.87518
8.2;2.213951;1.71835;1.738868;1.797868;2.309869;2.769764;2.146045
8.6;2.228921;1.724347;1.771377;1.830996;2.23376;2.735079;2.15959
82.4;10.02809;8.516953;7.860158;4.96493;4.441946;5.01037;8.937831
83.2;7.225138;6.284608;5.692703;3.489928;3.075985;3.643917;6.462863
84.11;8.312204;7.379614;6.758378;4.241257;3.604902;4.118202;7.595824
86.12;7.144371;6.285115;5.606992;3.41826;2.863618;3.29274;6.480099
87.10;5.676266;4.959949;4.25;2.639018;2.388121;2.954137;5.046774
88.4;4.575414;3.909442;3.450941;2.035123;1.827924;2.33381;3.990394
91.2;6.503892;5.87607;5.380822;4.013916;3.559569;4.122835;6.319354
97.1;5.518639;4.957317;4.42302;2.926679;2.266361;2.818331;5.024624
98.4;4.635733;4.057453;3.633505;2.278153;1.889823;2.410459;4.115884
