Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;Max_corr;corr-mnd;corr-Rsig;roc-jan;roc-feb;roc-mars;roc-april;roc-mai;roc-juni;roc-juli;Max_roc;roc-mnd;crpss-jan;crpss-feb;crpss-mars;crpss-april;crpss-mai;crpss-juni;crpss-juli;Maxcrpss;bss-jan;bss-feb;bss-mars;bss-april;bss-mai;bss-jui;bss-juli;Max_bss;reff-jan;reff-feb;reff-mars;reff-april;reff-mai;reff-juni;reff-juli;Max_Reff;reff_mnd;csi-jan;csi-feb;csi-mars;csi-april;csi-mai;csi-juni;csi-juli;Max_csi;csi-mnd;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;Stasjonsnr;WSZ;WRRatio;area_total;Høyde minimum;Høyde max;Høyde hypso50;Latitude;Longitude;Regime;JANRRatio;FEBRRatio;MARSRRatio;WSZjan
12.171;0.462549177;0.463203804;0.493465278;5.012391e-01;0.533031491;0.394685678;0.339991802;0.53303149;5;0.2428590;0.7500000;0.7872727;0.78909091;0.76181818;0.81545455;0.529069767;0.300000000;0.8154545;5;0.144195895;0.147241177;0.159012494;0.1341290592;0.085044863;-0.0075512324;0.0718105790;0.1590124938;0.101123794;1.378869e-01;0.1279698739;0.089503849;0.080647788;0.1608453505;0.0162508415;0.160845351;0.2246740285;0.221431590;0.246553051;0.211095617;0.060476711;0.129440173;0.10062189;0.246553051;3;0.50000000;0.58620690;0.50000000;0.51612903;0.55555556;0.00000000;0.0000000;0.58620690;2;135.0;104.0;76.0;45.0;15.0;8.0;4.0;12.171;0.8706003;0.06229442;79.75;780;1203;902;60.70962;9.458990;H1L1;0.005839113;0.01597813;0.02130874;0.9641577
12.178;0.215861917;0.186803383;0.240289994;2.219579e-01;0.178870957;0.335904183;0.132569050;0.33590418;6;0.2512085;0.6240695;0.6302730;0.65508685;0.64640199;0.59925558;0.409375000;0.238095238;0.6550868;3;0.051452074;0.037172808;0.030835323;-0.0011551932;-0.067693268;-0.0082973749;-0.0546179173;0.0514520745;0.072999556;8.382032e-02;0.0790291984;0.007781643;-0.126141598;-0.0186421155;-0.0401158443;0.083820320;-0.0060093351;-0.040040366;-0.007185429;-0.089733803;-0.260775620;-0.252220801;-0.37601759;-0.006009335;1;0.15789474;0.21739130;0.33333333;0.22727273;0.25000000;0.00000000;0.0000000;0.33333333;3;135.5;104.5;76.0;45.0;15.0;20.5;5.0;12.178;0.8280971;0.12328851;309.77;170;1463;846;60.15176;9.434388;H1L1;0.02461846;0.03753824;0.05415374;0.9444444
12.192;-0.057098345;0.216523338;0.246273484;2.597598e-01;0.430827597;0.208696023;0.254371759;0.43082760;5;0.2672670;0.1517857;0.2954545;0.39117647;0.43214286;0.64583333;0.500000000;0.500000000;0.6458333;5;-0.010817856;0.039290821;0.005226036;-0.0017896593;0.052842209;-0.0301233024;0.0043179986;0.0528422093;-0.030239369;3.119095e-02;0.0474173106;-0.023339645;-0.622565021;-0.0006578947;0.0250000000;0.047417311;-0.1620554295;-0.063712933;-0.115112614;-0.135803679;0.051118121;-0.070049565;-0.05438377;0.051118121;5;0.00000000;0.00000000;0.00000000;0.00000000;0.12500000;0.00000000;0.0000000;0.12500000;5;119.0;88.0;61.0;31.0;11.5;30.0;13.0;12.192;0.5870754;0.42663113;74.68;54;625;195;59.51704;10.123564;H2L3;0.2280515;0.2107538;0.2971532;0.7831541
12.193;0.311095948;0.368501468;0.430300297;3.814632e-01;0.334973799;0.269234969;0.127072952;0.43030030;3;0.2672670;0.7685185;0.7814815;0.82592593;0.81296296;0.72379032;0.542857143;0.260714286;0.8259259;3;0.050990499;0.100368572;0.124005118;0.0598010667;-0.039767255;-0.1069919688;-0.3789754002;0.1240051182;0.198883524;2.689036e-01;0.3471531874;0.442822065;0.283191277;0.0582509248;0.0111368873;0.442822065;0.1023261042;0.138174624;0.163638294;-0.072895400;-0.361333760;-0.317157818;-0.49952674;0.163638294;3;0.23076923;0.36363636;0.38461538;0.38461538;0.55555556;0.00000000;0.0000000;0.55555556;5;127.0;96.0;67.0;36.0;25.0;29.0;12.0;12.193;0.6474585;0.30863590;51.60;84;649;277;59.69721;9.790201;H2L3;0.1062128;0.09627673;0.197462;0.8339307
12.286;0.548105446;0.625505285;0.699920335;7.016805e-01;0.811260047;0.351735595;0.471611611;0.81126005;5;0.2825940;0.6909722;0.7743056;0.81770833;0.79166667;0.86730769;0.000000000;0.000000000;0.8673077;5;0.174873052;0.224241660;0.288992670;0.1793550190;0.167306922;-1.3338344911;-1.3661563309;0.2889926704;0.147582086;1.776685e-01;0.2181947636;0.062256599;0.082889096;INF;NaN;0.218194764;0.3030245002;0.393086602;0.491275359;0.401284052;0.507576976;-3.171326375;-2.52406835;0.507576976;5;0.18750000;0.42105263;0.44444444;0.47619048;0.50000000;-1.00000000;-1.0000000;0.50000000;5;118.0;87.0;59.0;28.0;4.5;12.0;5.0;12.286;0.7009962;0.26829908;113.26;198;766;374;60.40398;10.537731;H2L2;0.07208466;0.0924591;0.1585236;0.8906810
12.290;0.214414512;0.229296178;0.359682144;3.202495e-01;0.315559335;0.451811178;0.422794576;0.45181118;6;0.2262173;0.6120301;0.6593985;0.75413534;0.74661654;0.73082707;0.721428571;0.531914894;0.7541353;3;0.035635763;0.043864360;0.094138026;0.0718086766;0.019741838;0.1019639747;0.0610826711;0.1019639747;0.089272031;6.104725e-02;0.1347126437;0.092643678;0.100408685;0.2880391214;0.1907442151;0.288039121;-0.0292066432;-0.003391715;0.115280009;0.022075717;-0.136440767;0.004966798;-0.14573991;0.115280009;3;0.21052632;0.36363636;0.42857143;0.54545455;0.40909091;0.26666667;0.1111111;0.54545455;4;155.0;124.0;96.0;65.0;35.0;15.0;7.5;12.290;0.8957344;0.07570306;2976.54;220;1907;949;60.80819;9.567402;H1L1;0.01097773;0.02891311;0.03782291;0.9725209
12.70;0.352377736;0.334153221;0.368447933;4.128271e-01;0.500349595;0.715728538;0.290784105;0.71572854;6;0.2262173;0.6631944;0.6791667;0.69166667;0.73125000;0.78472222;0.794117647;0.000000000;0.7941176;6;0.079697523;0.056901774;0.073520014;0.1010381176;0.073483618;0.1240098541;-0.1669540092;0.1240098541;0.131526909;9.515793e-02;0.0964673187;0.174790230;0.229170007;0.1771296296;INF;0.229170007;0.1343046811;0.112896789;0.137760915;0.155833530;0.139461722;0.433503774;-0.75444218;0.433503774;6;0.37500000;0.37142857;0.44117647;0.42857143;0.48387097;0.50000000;-1.0000000;0.50000000;6;137.5;106.5;78.0;47.0;17.0;11.5;9.5;12.70;0.8889911;0.06058363;570.17;399;1681;936;60.95190;9.626174;H1L1;0.003121131;0.01138472;0.01814075;0.9784946
12.97;0.177517022;0.170636732;0.278682270;2.904248e-01;0.324228810;0.447560595;0.217430423;0.44756059;6;0.2262173;0.6536765;0.6198529;0.62426471;0.63161765;0.68602941;0.715277778;0.269230769;0.7152778;6;0.001499338;-0.013551315;0.018208587;0.0181837539;0.063363282;-0.1886906598;-0.1699450891;0.0633632825;-0.005001583;-5.859449e-02;-0.0377334600;0.013675214;0.037670149;-0.5139670627;-0.0271867612;0.037670149;0.0044908644;-0.009543513;0.062168851;0.057585232;0.035511091;0.115140114;0.05854303;0.115140114;6;0.18181818;0.29166667;0.30769231;0.30769231;0.40000000;0.44444444;0.0000000;0.44444444;6;140.5;109.5;81.5;50.5;21.0;14.4;8.0;12.97;0.9108557;0.06745900;4248.54;152;1930;1071;60.47192;9.231315;H2L3;0.01437397;0.03104662;0.03297784;0.9743130
122.11;-0.032741173;-0.114899767;-0.060907762;4.459075e-02;0.295331511;0.677363092;0.212894928;0.67736309;6;0.2262173;0.4846154;0.4068376;0.47435897;0.53162393;0.71025641;0.937500000;0.000000000;0.9375000;6;-0.174501604;-0.283941955;-0.291645597;-0.2891251230;-0.174643277;-0.0412396914;-0.7690554925;-0.0412396914;-0.195739348;-1.746310e-01;-0.1613199666;-0.156808688;-0.143358396;0.3070237256;INF;0.307023726;-0.3062408587;-0.593518114;-0.674328334;-0.633061731;-0.374125774;0.092281703;-2.27650401;0.092281703;6;0.20833333;0.15384615;0.19354839;0.21428571;0.26666667;0.55555556;-1.0000000;0.55555556;6;144.5;113.5;85.5;54.5;24.5;7.5;10.0;122.11;0.8712133;0.08329557;654.24;285;1284;844;62.89011;11.183880;H1L1;0.03935582;0.03012337;0.06645077;0.9599761
122.17;0.315138724;0.379954691;0.433069964;4.262690e-01;0.565502885;0.398451918;-0.202768336;0.56550288;5;0.2785166;0.5312500;0.5699405;0.61011905;0.60119048;0.73484848;0.580645161;0.486486486;0.7348485;5;0.028238075;0.059832524;0.061896349;-0.0330699640;-0.025393435;-0.0140351208;-0.1350533617;0.0618963487;0.037983478;-2.170275e-02;-0.0985619784;-0.309122729;-0.094952366;0.1790403433;-0.0009091236;0.179040343;-0.0243586700;0.062312614;0.071504358;0.011493921;0.046126395;-0.180377722;-0.42238735;0.071504358;3;0.21052632;0.21052632;0.28571429;0.30434783;0.50000000;0.14285714;0.0000000;0.50000000;5;139.0;108.0;80.0;49.0;21.0;11.0;19.0;122.17;0.7814049;0.15463195;546.17;130;1256;623;62.99406;10.246435;H1L1;0.08543536;0.08529329;0.1303489;0.8984468
122.9;-0.042897775;-0.021940747;0.136404703;2.268954e-01;0.460912832;0.531393635;0.158054666;0.53139363;6;0.2541889;0.4317130;0.4212963;0.55902778;0.58680556;0.74884259;0.775000000;0.000000000;0.7750000;6;-0.129817133;-0.181541281;-0.165464998;-0.1612176125;-0.033860534;-0.0090083562;-0.0568426640;-0.0090083562;-0.247359185;-3.084747e-01;-0.2057689047;-0.227897474;-0.087982690;0.2576187835;-0.0129070181;0.257618783;-0.2350038589;-0.391568451;-0.306075029;-0.277312011;-0.009722192;0.100547236;-0.43100428;0.100547236;6;0.18518519;0.14285714;0.34482759;0.28571429;0.37500000;0.36363636;0.0000000;0.37500000;5;149.0;118.0;90.0;59.0;29.0;13.0;12.0;122.9;0.8270754;0.14389715;3086.41;54;1325;735;63.10848;10.229018;H1L1;0.08291479;0.07553152;0.1220418;0.9354839
123.31;-0.028075513;0.043211544;0.012921043;2.103515e-02;0.187495705;0.210026806;-0.125197369;0.21002681;6;0.2262173;0.4752137;0.5044643;0.56160714;0.57242063;0.64880952;0.658054711;0.405228758;0.6580547;6;-0.222226541;-0.273317917;-0.369515187;-0.5468617020;-0.546926471;-0.3519984673;-0.1323755271;-0.1323755271;-0.203132144;-2.621275e-01;-0.3459482038;-0.448132115;-0.357752235;-0.2991520933;-0.1426319937;-0.142631994;-0.4507754173;-0.508962202;-0.743729737;-1.139355755;-1.093778449;-0.762367048;-0.47181874;-0.450775417;1;0.22222222;0.13333333;0.20000000;0.16666667;0.28571429;0.08333333;0.0000000;0.28571429;5;141.5;112.0;83.5;53.5;24.5;15.5;14.5;123.31;0.7459515;0.26037265;145.00;200;1166;576;63.26617;11.131100;H1L1;0.2003417;0.1624146;0.2121162;0.8536440
124.2;0.113629074;0.256149310;0.193113302;2.681971e-01;0.563519659;0.393363592;-0.014569621;0.56351966;5;0.2262173;0.5466270;0.5792812;0.52954545;0.50951087;0.67391304;0.915094340;0.000000000;0.9150943;6;-0.131512412;-0.201724735;-0.290876537;-0.3686248313;-0.280393978;-0.5665342370;-0.2085708105;-0.1315124121;-0.122549020;-3.062370e-01;-0.3103994598;-0.226080247;-0.088250319;-0.7048468221;-0.3955458727;-0.088250319;-0.2096528794;-0.293546481;-0.464978154;-0.690240712;-0.476094509;-0.984327064;-0.33362016;-0.209652879;1;0.13636364;0.16666667;0.16666667;0.10000000;0.16666667;0.00000000;-1.0000000;0.16666667;2;131.0;102.0;74.0;45.0;18.0;18.5;14.5;124.2;0.7169349;0.34778832;494.72;98;1246;505;63.49292;11.358312;H1L1;0.2850939;0.2311444;0.2871098;0.8273596
127.11;-0.071620412;0.162340457;0.139294404;2.560000e-01;0.371288379;0.706337515;0.376229479;0.70633752;6;0.2377338;0.4719388;0.5501701;0.57192982;0.65681004;0.68279570;0.777777778;0.000000000;0.7777778;6;-0.112130606;-0.118186366;-0.135145420;-0.1426725813;-0.179708145;0.1263501719;-0.1160442311;0.1263501719;-0.151252797;-1.790456e-01;-0.0353222360;0.037300151;0.102276793;0.0924311004;INF;0.102276793;-0.3074702060;-0.219097579;-0.345336468;-0.284983052;-0.239451043;0.409658104;-0.42290819;0.409658104;6;0.16129032;0.23076923;0.26923077;0.39130435;0.40000000;0.40000000;-1.0000000;0.40000000;5;137.0;108.0;80.0;49.0;20.0;5.0;8.0;127.11;0.7674074;0.29121267;176.13;361;1215;518;63.78934;12.326543;H2L1;0.1975196;0.169313;0.2356827;0.8864994
127.13;0.194525890;0.513887132;0.318428492;4.996033e-01;0.629323927;0.156426545;-0.204682640;0.62932393;5;0.2541889;0.5462963;0.6699507;0.69602273;0.73039216;0.76587302;0.000000000;0.000000000;0.7658730;5;0.008932273;0.119432889;0.032071449;0.0565833789;0.106768609;-0.1988069988;-0.1501220877;0.1194328885;0.004170574;1.156101e-01;0.0750660253;0.130739085;0.081029415;-1.2866036908;0.0023926416;0.130739085;0.0580817759;0.248182544;0.015124624;0.141759185;0.269516705;-0.340011031;-0.19953863;0.269516705;5;0.19047619;0.29411765;0.18750000;0.27272727;0.27272727;-1.00000000;-1.0000000;0.29411765;2;128.0;100.0;73.0;46.0;22.0;19.0;16.0;127.13;0.7097829;0.37154570;479.64;39;1031;507;63.76420;11.765073;H1L1;0.2883698;0.2424286;0.3048006;0.8321386
133.7;-0.069284647;0.356526417;0.145311241;2.790100e-01;0.565928029;0.020487661;0.173323574;0.56592803;5;0.2262173;0.3392857;0.6001984;0.46059783;0.56944444;0.94339623;0.000000000;0.000000000;0.9433962;5;0.002408870;0.068583723;0.007956303;-0.0086106667;-0.016370051;-0.2213182314;-0.0696656802;0.0685837226;-0.015869342;6.734007e-03;0.0052583448;-0.021124314;0.075510204;INF;INF;0.075510204;-0.1273312198;0.061368696;0.019713986;0.087078358;0.146632435;-0.221292824;0.02771365;0.146632435;5;0.00000000;0.08333333;0.00000000;0.00000000;0.00000000;-1.00000000;-1.0000000;0.08333333;2;99.0;82.5;61.0;31.5;16.0;26.0;13.0;133.7;0.5438570;0.56446257;206.61;87;627;348;63.80409;10.231909;H2L3;0.5194134;0.4552955;0.4713976;0.6708483
