Stasjonsnr;Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;Max_corr;corr-mnd;corr-Rsig;roc-jan;roc-feb;roc-mars;roc-april;roc-mai;roc-juni;roc-juli;Max_roc;roc-mnd;crpss-jan;crpss-feb;crpss-mars;crpss-april;crpss-mai;crpss-juni;crpss-juli;Maxcrpss;bss-jan;bss-feb;bss-mars;bss-april;bss-mai;bss-jui;bss-juli;Max_bss;reff-jan;reff-feb;reff-mars;reff-april;reff-mai;reff-juni;reff-juli;Max_Reff;reff_mnd;csi-jan;csi-feb;csi-mars;csi-april;csi-mai;csi-juni;csi-juli;Max_csi;csi-mnd;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;Stasjonsnr;WSZ;WRRatio;area_total;H?de minimum;H?de max;H?de hypso50;Latitude;Longitude;Stasjonsnr;andel fjell;andel innsjø;andel isbre;Regime;JANRRatio;FEBRRatio;MARSRRatio;APRILRRatio;MAIRRatio;JUNIRRatio;
122.11;122.11;-0.032741173;-0.114899767;-0.060907762;4.459075e-02;0.295331511;0.677363092;0.212894928;0.67736309;6;0.2262173;0.4846154;0.4068376;0.47435897;0.53162393;0.71025641;0.937500000;0.000000000;0.9375000;6;-0.174501604;-0.283941955;-0.291645597;-0.2891251230;-0.174643277;-0.0412396914;-0.7690554925;-0.0412396914;-0.195739348;-1.746310e-01;-0.1613199666;-0.156808688;-0.143358396;0.3070237256;INF;0.307023726;-0.3062408587;-0.593518114;-0.674328334;-0.633061731;-0.374125774;0.092281703;-2.27650401;0.092281703;6;0.20833333;0.15384615;0.19354839;0.21428571;0.26666667;0.55555556;-1.0000000;0.55555556;6;144.5;113.5;85.5;54.5;24.mai;07.mai;10.0;122.11;0.8712133;0.08329557;654.24;285;1284;844;62.89011;11.183880;122.11;43.96;2.84;0.00;H1L1;0.03935582;0.03012337;0.06645077;0.2129796;0.7218942;0.9773301;
122.17;122.17;0.315138724;0.379954691;0.433069964;4.262690e-01;0.565502885;0.398451918;-0.202768336;0.56550288;5;0.2785166;0.5312500;0.5699405;0.61011905;0.60119048;0.73484848;0.580645161;0.486486486;0.7348485;5;0.028238075;0.059832524;0.061896349;-0.0330699640;-0.025393435;-0.0140351208;-0.1350533617;0.0618963487;0.037983478;-2.170275e-02;-0.0985619784;-0.309122729;-0.094952366;0.1790403433;-0.0009091236;0.179040343;-0.0243586700;0.062312614;0.071504358;0.011493921;0.046126395;-0.180377722;-0.42238735;0.071504358;3;0.21052632;0.21052632;0.28571429;0.30434783;0.50000000;0.14285714;0.0000000;0.50000000;5;139.0;108.0;80.0;49.0;21.0;11.0;19.0;122.17;0.7814049;0.15463195;546.17;130;1256;623;62.99406;10.246435;122.17;20.69;1.00;0.00;H1L1;0.08543536;0.08529329;0.1303489;0.3104724;0.8065915;0.9889559;
122.9;122.9;-0.042897775;-0.021940747;0.136404703;2.268954e-01;0.460912832;0.531393635;0.158054666;0.53139363;6;0.2541889;0.4317130;0.4212963;0.55902778;0.58680556;0.74884259;0.775000000;0.000000000;0.7750000;6;-0.129817133;-0.181541281;-0.165464998;-0.1612176125;-0.033860534;-0.0090083562;-0.0568426640;-0.0090083562;-0.247359185;-3.084747e-01;-0.2057689047;-0.227897474;-0.087982690;0.2576187835;-0.0129070181;0.257618783;-0.2350038589;-0.391568451;-0.306075029;-0.277312011;-0.009722192;0.100547236;-0.43100428;0.100547236;6;0.18518519;0.14285714;0.34482759;0.28571429;0.37500000;0.36363636;0.0000000;0.37500000;5;149.0;118.0;90.0;59.0;29.0;13.0;12.0;122.9;0.8270754;0.14389715;3086.41;54;1325;735;63.10848;10.229018;122.9;35.80;2.5;0.00;H1L1;0.08291479;0.07553152;0.1220418;0.2906947;0.7694813;0.9822881;
123.31;123.31;-0.028075513;0.043211544;0.012921043;2.103515e-02;0.187495705;0.210026806;-0.125197369;0.21002681;6;0.2262173;0.4752137;0.5044643;0.56160714;0.57242063;0.64880952;0.658054711;0.405228758;0.6580547;6;-0.222226541;-0.273317917;-0.369515187;-0.5468617020;-0.546926471;-0.3519984673;-0.1323755271;-0.1323755271;-0.203132144;-2.621275e-01;-0.3459482038;-0.448132115;-0.357752235;-0.2991520933;-0.1426319937;-0.142631994;-0.4507754173;-0.508962202;-0.743729737;-1.139355755;-1.093778449;-0.762367048;-0.47181874;-0.450775417;1;0.22222222;0.13333333;0.20000000;0.16666667;0.28571429;0.08333333;0.0000000;0.28571429;5;141.5;112.0;83.5;53.5;24.mai;15.mai;14.mai;123.31;0.7459515;0.26037265;145.00;200;1166;576;63.26617;11.131100;123.31;35.10;2.23;0.00;H1L1;0.2003417;0.1624146;0.2121162;0.3664943;0.8253931;0.9874696;
124.2;124.2;0.113629074;0.256149310;0.193113302;2.681971e-01;0.563519659;0.393363592;-0.014569621;0.56351966;5;0.2262173;0.5466270;0.5792812;0.52954545;0.50951087;0.67391304;0.915094340;0.000000000;0.9150943;6;-0.131512412;-0.201724735;-0.290876537;-0.3686248313;-0.280393978;-0.5665342370;-0.2085708105;-0.1315124121;-0.122549020;-3.062370e-01;-0.3103994598;-0.226080247;-0.088250319;-0.7048468221;-0.3955458727;-0.088250319;-0.2096528794;-0.293546481;-0.464978154;-0.690240712;-0.476094509;-0.984327064;-0.33362016;-0.209652879;1;0.13636364;0.16666667;0.16666667;0.10000000;0.16666667;0.00000000;-1.0000000;0.16666667;2;131.0;102.0;74.0;45.0;18.0;18.mai;14.mai;124.2;0.7169349;0.34778832;494.72;98;1246;505;63.49292;11.358312;124.2;27.48;7.38;0.00;H1L1;0.2850939;0.2311444;0.2871098;0.4771379;0.8845252;0.9936698;
127.13;127.13;0.194525890;0.513887132;0.318428492;4.996033e-01;0.629323927;0.156426545;-0.204682640;0.62932393;5;0.2541889;0.5462963;0.6699507;0.69602273;0.73039216;0.76587302;0.000000000;0.000000000;0.7658730;5;0.008932273;0.119432889;0.032071449;0.0565833789;0.106768609;-0.1988069988;-0.1501220877;0.1194328885;0.004170574;1.156101e-01;0.0750660253;0.130739085;0.081029415;-1.2866036908;0.0023926416;0.130739085;0.0580817759;0.248182544;0.015124624;0.141759185;0.269516705;-0.340011031;-0.19953863;0.269516705;5;0.19047619;0.29411765;0.18750000;0.27272727;0.27272727;-1.00000000;-1.0000000;0.29411765;2;128.0;100.0;73.0;46.0;22.0;19.0;16.0;127.13;0.7097829;0.37154570;479.64;39;1031;507;63.76420;11.765073;127.13;21.15;2.65;0.00;H1L1;0.2883698;0.2424286;0.3048006;0.5410107;0.9157722;0.9982744;
15.49;15.49;0.330056648;0.409164904;0.445176524;4.455377e-01;0.415669690;0.601485139;0.315661300;0.60148514;6;0.2306199;0.6846264;0.7543103;0.75763889;0.76805556;0.76736111;0.705000000;0.490384615;0.7680556;4;0.085583568;0.095881529;0.092825125;0.0645335125;-0.048957009;0.0154498154;-0.5388273551;0.0958815286;0.149231912;1.756503e-01;0.1200716846;0.153186847;0.001870033;-0.0206481481;-0.0005341880;0.175650304;0.1111494952;0.134384129;0.163182851;0.120994117;-0.095908073;0.239153089;0.01451653;0.239153089;6;0.40740741;0.47058824;0.45714286;0.45714286;0.46875000;0.50000000;0.0000000;0.50000000;6;137.0;106.0;77.5;46.5;16.mai;1.0;42493;15.49;0.8832695;0.07136816;59.13;846;1185;1028;60.49297;8.479065;15.49;19.62;5.38;0.00;H1L1;0.01202194;0.04223523;0.03709127;0.1881572;0.7780228;0.9924991;
15.53;15.53;0.353580606;0.277010431;0.315391406;3.306540e-01;0.360729204;0.544532205;0.124266996;0.54453220;6;0.2377338;0.6309524;0.6301020;0.66751701;0.66411565;0.70903010;0.559782609;0.673469388;0.7090301;5;0.097468612;0.037029796;0.033410070;0.0040938135;-0.054835487;0.1113968962;-0.0416313715;0.1113968962;0.083604292;-1.362632e-02;0.0293904020;0.052010940;-0.137172316;0.3360191080;-0.0671676905;0.336019108;0.1040831791;-0.001475311;-0.006059626;-0.049479153;-0.189280980;0.041883990;-0.32311791;0.104083179;1;0.47222222;0.48717949;0.54054054;0.50000000;0.51612903;0.25000000;0.0000000;0.54054054;3;134.0;103.0;75.0;44.0;14.0;21.mai;8.0;15.53;0.8871520;0.05057837;94.07;770;1310;1011;60.30712;9.009736;15.53;29.1;4.26;0.00;H1L1;0.004905267;0.01676191;0.01409514;0.1623263;0.8011042;0.9942779;
151.15;151.15;0.219255170;0.274234655;0.272104879;3.871110e-01;0.443211383;0.695583721;0.740891558;0.74089156;7;0.2428590;0.6476449;0.6186594;0.60054348;0.63315217;0.67210145;0.830459770;0.930232558;0.9302326;7;0.008372083;-0.041718143;-0.117314954;-0.0649750613;-0.004812609;0.1916712767;0.2743213759;0.2743213759;0.091680134;9.796543e-02;-0.0283690617;0.023170383;0.098971079;0.3446432314;0.2991398685;0.344643231;-0.0941708506;-0.150506973;-0.275329786;-0.108904890;-0.025534183;0.362018864;0.47053614;0.470536140;7;0.33333333;0.33333333;0.29032258;0.37500000;0.38709677;0.56521739;0.0000000;0.56521739;6;156.0;125.0;97.0;66.0;36.0;9.0;6.0;151.15;0.9161686;0.11216723;653.36;345;1692;827;65.43757;13.986036;151.15;55.51;2.16;1.60;H1L1;0.07836377;0.07078927;0.07900229;0.1743297;0.6271595;0.9568602;
152.4;152.4;-0.262509419;-0.054586540;0.181980701;2.574350e-01;0.315778514;0.589057516;0.641346267;0.64134627;7;0.2262173;0.3701299;0.4189189;0.55042735;0.56517857;0.62678571;0.703125000;0.924528302;0.9245283;7;-0.150858992;-0.221947654;-0.146270017;-0.1949725732;-0.232301920;-0.0815827281;0.1830509210;0.1830509210;-0.215826023;-3.248089e-01;-0.3351010101;-0.404526749;-0.455875629;-0.8012037037;INF;-0.215826023;-0.4303996659;-0.566602593;-0.382747220;-0.335637037;-0.378501484;-0.067342018;0.36936385;0.369363847;7;0.12121212;0.14814815;0.12500000;0.13043478;0.29166667;0.13333333;0.0000000;0.29166667;5;142.5;118.5;92.0;61.0;31.0;13.0;08.mai;152.4;0.7657727;0.38412065;525.69;39;1530;436;65.90524;13.307593;152.4;37.21;5.89;0.54;H1L1;0.3091812;0.2906371;0.3440036;0.5204933;0.8428993;0.9809571;
