Stasjon;Stasjonsnr;Regime;Numerisk;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;WSZ;WRRatio
Veravatn;127.11;H2L1;2;-0.071620412;0.162340457;0.139294404;2.560000e-01;0.371288379;0.706337515;0.376229479;0.7674074;0.29121267
Jondalselv;15.21;H2L1;2;0.075445025;0.156613675;0.247963268;2.717147e-01;0.396426130;0.242592507;0.073440766;0.7423755;0.19324583
Fustvatn;152.4;H2L1;2;-0.262509419;-0.054586540;0.181980701;2.574350e-01;0.315778514;0.589057516;0.641346267;0.7657727;0.38412065
Vassvatn;157.3;H2L1;2;-0.139457570;-0.134606537;-0.098441271;1.474378e-01;0.155352960;0.338589471;0.205382122;0.6983397;0.49989152
Grovåi;16.122;H2L1;2;0.219202055;0.241804884;0.166671180;1.715542e-01;0.170523929;0.468011943;0.323022031;0.8506769;0.11157848
Hørte;16.193;H2L1;2;0.095096080;0.097732688;0.188310687;8.761142e-02;0.088713401;0.009688002;0.128943965;0.7242912;0.24474395
Grosettjern;16.66;H2L1;2;0.201268074;0.127612360;0.153391980;1.541623e-01;0.241234228;0.482448600;0.253353027;0.8828608;0.07331901
Tannsvatn;16.75;H2L1;2;0.291762637;0.204842824;0.218778238;3.207977e-01;0.447745092;0.710518954;0.362531504;0.8416858;0.12395626
Skarsvatn;162.3;H2L1;2;0.011082864;0.079524781;0.064848231;1.145888e-01;0.182262986;0.662354609;0.303796584;0.8083780;0.28642689
Narsjø;2.11;H2L1;2;0.044485331;0.128658690;0.178086741;2.438250e-01;0.437866778;0.729673063;0.258695633;0.9089144;0.05437071
Knappom;2.142;H2L1;2;0.412208111;0.410517211;0.410821786;4.284752e-01;0.644113608;0.108912439;0.198298406;0.7404342;0.28499586
Kråkfoss;2.279;H2L1;2;0.257081277;0.385894810;0.366429035;4.303230e-01;0.606495635;0.365063274;0.277254679;0.7078416;0.29010986
Aulestad;2.28;H2L1;2;0.306269126;0.228777170;0.274593514;3.255523e-01;0.377710709;0.458754338;0.039908395;0.8744828;0.08835892
Tora;2.291;H2L1;2;0.290361158;0.248892375;0.287357259;3.192903e-01;0.326819589;0.382096332;0.580625297;0.9609195;0.02351739
Fura;2.323;H2L1;2;0.005763478;-0.013593693;-0.038227878;-9.988045e-05;0.152370867;-0.025153445;0.049960506;0.7984674;0.16466914
Elverum;2.604;H2L1;2;0.123159674;0.088856779;0.154265622;2.529055e-01;0.379152536;0.770054221;0.197912494;0.8861303;0.10353833
Austenå;20.2;H2L1;2;0.196302744;0.354979182;0.335553535;4.467409e-01;0.604991558;0.464001690;0.236859143;0.7510600;0.26127568
Skogsfjordvatn;200.4;H2L1;2;-0.079910486;0.042756972;0.128218470;1.870877e-01;0.340224938;0.497753740;0.469610888;0.7392082;0.34881728
Nordmannset;230.1;H2L1;2;-0.057510192;-0.122812928;-0.030655178;3.662566e-02;0.220881987;0.688761651;0.462510661;0.8803065;0.11282417
Karpelva;247.3;H2L1;2;0.117367603;0.120161131;0.166418408;2.248363e-01;0.418246768;0.858003257;0.519172166;0.9023755;0.05954029
Jogla;26.26;H2L1;2;-0.021836908;-0.004602424;0.036251622;2.148297e-03;0.007213244;0.178262558;0.104875967;0.8507791;0.16766143
Engeren;311.46;H2L1;2;0  0.278173797;0.284644356;0.366668728;4.529606e-01;0.560004191;0.823984032;0.537236723;0.8897063;0.09875686
Nigardsbrevatn;76.5;H2L1;2;-0.198469145;-0.138823889;-0.191831555;-6.743621e-02;-0.056543330;-0.045936195;0.106285199;0.9576501;0.07795431
Bøyumselv;78.8;H2L1;2;-0.143235039;-0.124535376;-0.155189572;-7.580782e-02;-0.029799803;0.012135626;0.129528730;0.8824521;0.24225596
Nessedalselv;79.3;H2L1;2;0.050405751;0.122975774;0.227830584;2.358861e-01;0.319807303;0.613948357;0.621540076;0.7867178;0.32886730
negårdssvingen;8.2;H2L1;2;-0.070998374;0.011239417;0.084327586;5.267439e-02;0.255697029;0.140170992;0.333335411;0.6532822;0.35989546
Hovefoss;84.11;H2L1;2;-0.300832467;0.054424838;0.233089499;2.941414e-01;0.132769558;0.129804701;0.292346839;0.6616603;0.50325141
Lovatn;88.4;H2L1;2;0.011324501;0.053337112;0.001314236;5.937915e-02;0.121932554;0.131878747;0.244026377;0.9068710;0.18299944
Jaren;12.286;H2L1;2;0.548105446;0.625505285;0.699920335;7.016805e-01;0.811260047;0.351735595;0.471611611;0.7009962;0.26829908
