"stations" "nobs" "" "" "" "" "tdist"
"1" "103.1.0.6004.dta" "43" "116.113427345887" "23.6474525829132" "93.3945353658079" "25.3820271953483" "gumbel"
"2" "103.40.0.6004.dta" "52" "250.705175651805" "58.0494935133181" "222.943596486341" "54.3602642943451" "gumbel"
"3" "104.23.0.6004.dta" "39" "29.8838220520955" "7.53154205840191" "22.5189650548842" "6.61258630541617" "gumbel"
"4" "105.1.0.6004.dta" "52" "56.1333841677511" "43.6080920916942" "34.2316198708908" "14.9409613129764" "gumbel"
"5" "107.3.0.6004.dta" "49" "5.7696591065962" "1.75942826653606" "4.8277748583725" "1.23382429377728" "gumbel"
"6" "109.29.0.6004.dta" "39" "22.289224414815" "5.07849400386542" "20.0144153121775" "4.50834411791334" "gumbel"
"7" "109.42.0.6004.dta" "52" "418.586457351563" "103.334020127629" "359.836666105934" "114.687580698633" "gumbel"
"8" "109.9.0.6004.dta" "52" "156.703872224617" "55.2302060117774" "127.109614077843" "29.0206116307493" "gumbel"
"9" "112.8.0.6004.dta" "45" "32.0739836610643" "6.22175996196613" "22.8451281319359" "5.34916926142373" "gumbel"
"10" "12.114.0.6004.dta" "23" "70.1173619788165" "24.2672653957049" "73.6342307386499" "22.3293967080191" "gumbel"
"11" "12.150.0.6004.dta" "45" "2.94665159827425" "1.09107269106255" "2.44042074234381" "0.859316076122093" "gumbel"
"12" "12.171.0.6004.dta" "46" "12.7807140645689" "3.87986189060492" "11.3543046856323" "3.54557130771342" "gumbel"
"13" "12.178.0.6004.dta" "43" "65.2174336442122" "27.1916600307369" "56.366561141833" "18.9070125683702" "gumbel"
"14" "12.192.0.6004.dta" "38" "15.135100521618" "4.52538827089568" "13.0623407619438" "4.14150464102031" "gumbel"
"15" "12.193.0.6004.dta" "38" "8.65645392051072" "3.65218395614913" "6.25525211175823" "2.27885783107003" "gumbel"
"16" "12.209.0.6004.dta" "29" "88.690636389689" "44.9421316760472" "83.5777061450545" "28.1085706593471" "gumbel"
"17" "12.215.0.6004.dta" "27" "31.2033510604738" "11.1717889278514" "31.6033622814789" "6.5469311555189" "gumbel"
"18" "12.286.0.6004.dta" "34" "7.79402753791671" "3.56438831024173" "8.67049515543618" "3.08318506347522" "gumbel"
"19" "12.290.0.6004.dta" "52" "183.222036828727" "73.3984572374" "160.752253949988" "55.553864816761" "gumbel"
"20" "12.70.0.6004.dta" "52" "89.3897491357951" "28.1824538867562" "83.7160224917377" "21.8282528184006" "gumbel"
"21" "12.97.0.6004.dta" "52" "400.287833120018" "121.080869174764" "297.63879283017" "117.335756852071" "gumbel"
"22" "121.20.0.6004.dta" "27" "47.732526211268" "9.13312744127226" "36.7979850223401" "11.1829436100727" "gumbel"
"23" "122.11.0.6004.dta" "52" "146.883401542086" "43.9758081724616" "128.872708487071" "25.9269609897776" "gumbel"
"24" "122.17.0.6004.dta" "35" "108.029108540965" "31.3453656106441" "93.6563461629936" "28.4926513435983" "gumbel"
"25" "122.9.0.6004.dta" "41" "650.412782824108" "166.653440503843" "570.140893163529" "128.679166062519" "gumbel"
"26" "123.31.0.6004.dta" "52" "53.922380636356" "15.1885561233771" "43.1289137224555" "9.53967698427284" "gumbel"
"27" "124.2.0.6004.dta" "52" "124.900527145562" "27.841275968561" "100.530559517627" "22.9545698277812" "gumbel"
"28" "127.11.0.6004.dta" "48" "46.0724400423213" "13.5059663017072" "41.0523600109629" "10.1879103593338" "gumbel"
"29" "127.13.0.6004.dta" "42" "137.754381903892" "35.6628746343815" "123.245349740176" "33.0621770177379" "gumbel"
"30" "133.7.0.6004.dta" "52" "114.54250479706" "41.3735310901724" "89.4956871968534" "34.4276877958059" "gumbel"
"31" "138.1.0.6004.dta" "52" "109.332590592351" "39.2289855268717" "81.4581211984599" "24.8760828226676" "gumbel"
"32" "139.15.0.6004.dta" "52" "151.392476534132" "53.844658771295" "112.782894696538" "24.7219303080946" "gumbel"
"33" "139.35.0.6004.dta" "52" "179.434094238548" "37.0775080826366" "126.45436777295" "33.1741471683446" "gumbel"
"34" "148.2.0.6004.dta" "41" "37.8875054087803" "11.0007011240136" "31.1755044515181" "9.41345135577954" "gumbel"
