Stasjon;Stasjonsnr;Regime;Numerisk;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;WSZ;WRRatio
Halsnes;212.49;H1L1;1;0.079948897;0.062130201;0.068781641;6.347171e-02;0.189579500;0.469905084;0.774604165;0.9396679;0.06385251
Lombola;223.2;H1L1;1;0.201824440;0.249896590;0.270768379;3.838663e-01;0.559119496;0.735043274;0.778187944;0.9479438;0.04689104
Vækkava;234.13;H1L1;1;0.232483726;0.250744939;0.304778777;3.174900e-01;0.544305155;0.879195222;0.494007332;0.9567305;0.02971094
Polmak;234.18;H1L1;1;-0.015955916;-0.034939294;0.040122508;4.960123e-02;0.325392080;0.832362869;0.611977977;0.9473308;0.04098763
Gjuvvatn;25.24;H1L1;1;-0.005658808;0.071968222;0.097982537;7.783319e-02;0.140277639;0.485516188;0.464597923;0.9086079;0.08885822
Sandvenvatn;48.1;H1L1;1;0.058286587;0.228179552;0.314433249;3.341421e-01;0.304231039;0.464950729;0.392067299;0.8626309;0.24431537
Reinsnosvatn;48.5;H1L1;1;0.126320309;0.254875437;0.323402071;3.345608e-01;0.343046727;0.520906822;0.627678789;0.9072797;0.14898256
Hølen;50.1;H1L1;1;0.421815459;0.495388079;0.498573277;5.099424e-01;0.520470548;0.584386802;0.693161456;0.9365006;0.09155683
Myrkdalsvatn;62.10;H1L1;1;0.173053216;0.188687125;0.219034448;2.511812e-01;0.316522999;0.435685121;0.563965300;0.8302427;0.27402816
n(Vangsvatnet);62.5;H1L1;1;0.101870589;0.209758482;0.381489932;4.769299e-01;0.441661394;0.671990721;0.708369938;0.7923372;0.33724108
Brekkebru;72.5;H1L1;1;0.432616327;0.349953856;0.426460695;4.132674e-01;0.399890783;0.471718373;0.558022391;0.9358876;0.13182612
Sula;73.27;H1L1;1;0.114343118;0.020544593;0.065513079;1.611498e-01;0.109526646;0.395806968;0.459285778;0.9661303;0.02899849
Krokenelv;75.23;H1L1;1;0.201904206;0.307089989;0.291875168;3.991165e-01;0.452478318;0.517949714;0.526398934;0.9179055;0.13071605
Sogndalsvatn;77.3;H1L1;1;-0.037596236;0.040847526;0.077757135;1.575888e-01;0.098093730;0.265006064;0.321880186;0.8624266;0.21034022
Viksvatn;83.2;H1L1;1;0.216293087;0.468064010;0.516920051;6.098768e-01;0.626066753;0.673853963;0.773576806;0.7767050;0.36451355
Skjerdalselv;86.12;H1L1;1;-0.014315503;0.251323682;0.217231344;2.117718e-01;0.169129762;0.138654365;0.061411484;0.7957088;0.29970389
Gloppenelv;87.10;H1L1;1;0.070840947;0.175265415;0.199589044;3.397182e-01;0.381790374;0.355108046;0.341303315;0.8563985;0.23901488
Fetvatn;97.1;H1L1;1;-0.030429164;0.100114522;0.080429924;3.461003e-01;0.496499935;0.302184589;0.284724620;0.6321328;0.41599088
Øye;98.4;H1L1;1;0.046386938;0.284796368;0.344065065;5.162112e-01;0.559066529;0.588046411;0.636657448;0.8344317;0.21416919
