felt	bjoreio	50_13	84.97	105.51	129.97	65.17	80.38	108.54	263
felt	roykenes	55_4	50.76	61.9	99.06	36.4	41.92	59.35	50
felt	dyrdalsvatn	55_5	3.96	4.72	6.86	3.38	3.97	5.45	3
felt	bulken	62_5	344.28	412.29	538.43	339.98	396.55	488.96	1092
felt	myrkdalsvatn	62_10	80.51	95.15	145.42	60.66	71.76	89.71	158
felt	svartavatn	62_18	78.4	96.82	121.4	50.34	60.26	77.08	72
felt	brekkebru	72_5	94.67	110.44	131.67	98.36	114.1	143.1	268
felt	sula	73_27	10.96	13.69	20.19	8.21	9.83	12.97	30
felt	krokenelv	75_23	18.28	21.78	30.36	15.76	18.34	22.55	46
felt	nigardsbrevatn	76_5	36.48	41.83	58.14	33.44	37.6	41.76	65
felt	sogndalsvatn	77_3	58.2	71.33	117.28	44.85	52.93	71.74	111
felt	boyumselv	78_8	22.44	26.37	35.04	17.82	19.77	23.24	40
felt	nessedalselv	79_3	17.05	19.79	26.71	10.76	12.75	17.1	30
felt	nautsundvatn	82_4	207.28	260.62	424.66	149.1	174.86	231.22	219
felt	viksvatn	83_2	172.41	202.93	253.42	167.01	193.13	235.68	508
felt	hovefoss	84_11	203.99	254.86	375.06	136.83	163	214.07	234
felt	skjerdalselv	86_12	22.91	29.55	43.09	13.74	15.72	21.88	24
felt	gloppenelv	87_10	110.89	132.35	193.9	110.81	134.72	189.73	217
felt	lovatn	88_4	73.7	85.33	103.92	56.16	62.13	75.46	235
felt	dalsbovatn	91_2	10.83	12.94	22.61	9.81	11.57	16.86	26
felt	fetvatn	97_1	61.87	74.34	112.48	42.55	51.63	69.07	89
felt	oye	98_4	59.47	73.28	119.86	47.22	55.42	84.43	139
felt	storholen	103_1	127.7	156.27	180.55	105.24	130.25	170.45	436
felt	horgheim	103_40	276.45	328.96	413.07	254.12	311.4	395.39	1099
felt	vistdal	104_23	36.17	43.63	64.99	26.45	32.61	47.52	67
felt	osenelv	105_1	59.42	79.27	151.83	42.52	56.35	96.11	138
felt	farstad	107_3	6.91	8.8	11.19	5.36	6.56	9.78	24
felt	risefoss	109_9	163.62	199.11	320.56	144.42	175.13	208.95	745
felt	dalavatn	109_29	26.08	31.76	42.63	22.81	27.28	34.57	85
felt	elverhoybru	109_42	468.41	553.38	783.85	444.02	550.07	752.03	2437
felt	rinna	112_8	37.05	43.5	61.35	26.36	31.54	44.38	86
felt	aamot	121_20	55.2	63.83	74.6	42.71	53.11	81.09	-9999
felt	gaulfoss	122_9	723.77	868.04	1245.8	645.45	769	1010.46	3086
felt	eggafoss	122_11	173.47	208.57	332.85	143.63	168.28	221.92	654
felt	hugdalbru	122_17	129.37	158.78	246.69	110.28	134.58	209.14	546
felt	kjelstad	123_31	63.71	79.71	103	46.59	56.34	77.44	145
felt	hoggaasbru	124_2	154.64	185.49	276.42	113.36	133.89	190.63	495
