"Group.1" "103.1.0" "103.40.0" "104.23.0" "105.1.0" "107.3.0" "109.29.0" "109.42.0" "109.9.0" "112.8.0" "12.114.0" "12.150.0" "12.171.0" "12.178.0" "12.192.0" "12.193.0" "12.209.0" "12.215.0" "12.286.0" "12.290.0" "12.70.0" "12.97.0" "121.20.0" "122.11.0" "122.17.0" "122.9.0" "123.31.0" "124.2.0" "127.11.0" "127.13.0" "133.7.0" "138.1.0" "139.15.0" "139.35.0" "148.2.0" "15.174.0" "15.21.0" "15.49.0" "15.53.0" "15.79.0" "151.15.0" "152.4.0" "156.10.0" "157.3.0" "16.122.0" "16.132.0" "16.140.0" "16.193.0" "16.66.0" "16.75.0" "160.7.0" "161.7.0" "162.3.0" "163.5.0" "165.6.0" "168.2.0" "173.8.0" "174.11.0" "174.3.0" "177.4.0" "18.10.0" "19.107.0" "191.2.0" "196.35.0" "2.11.0" "2.142.0" "2.145.0" "2.265.0" "2.268.0" "2.279.0" "2.28.0" "2.291.0" "2.32.0" "2.323.0" "2.439.0" "2.463.0" "2.479.0" "2.604.0" "2.614.0" "2.633.0" "2.634.0" "20.2.0" "200.4.0" "203.2.0" "206.3.0" "208.3.0" "21.47.0" "212.10.0" "212.27.0" "212.49.0" "22.16.0" "22.22.0" "22.4.0" "223.2.0" "230.1.0" "234.13.0" "234.18.0" "24.8.0" "24.9.0" "247.3.0" "25.24.0" "25.32.0" "26.20.0" "26.26.0" "26.29.0" "27.16.0" "27.24.0" "28.7.0" "3.22.0" "311.460.0" "311.6.0" "313.10.0" "35.16.0" "36.9.0" "41.1.0" "42.2.0" "46.9.0" "48.1.0" "48.5.0" "50.1.0" "50.13.0" "55.4.0" "55.5.0" "6.10.0" "6.71.0" "62.10.0" "62.18.0" "62.5.0" "72.5.0" "73.27.0" "75.23.0" "76.5.0" "77.3.0" "78.8.0" "79.3.0" "8.2.0" "8.6.0" "82.4.0" "83.2.0" "84.11.0" "86.12.0" "87.10.0" "88.4.0" "91.2.0" "97.1.0" "98.4.0"
"1" "01" 0.737159035842294 0.737209684587814 1.50127526105137 4.61948617383513 7.03114795639188 1.034183 0.51408428255675 0.28423688172043 0.832062867980884 0.387433563918757 0.35343489307049 0.313845910394265 0.346360422939068 1.00064565830346 0.581040621266428 0.313642188172043 0.385618916367981 0.395298420549582 0.416578759856631 0.288938637992832 0.489127022700119 1.08568572461171 0.35836959557945 0.557852209677419 0.549962119474313 1.17934239545998 1.49697547550777 1.17977612724014 1.23567093428913 3.00228364814815 2.82607685483871 0.908836925925926 0.603526241338112 3.45643208124253 1.90629481839904 0.487829959378734 0.380395783751493 0.281588639784946 0.960388910991637 0.446888210274791 2.89184473775388 1.62972824432497 5.15051374193548 0.54075212962963 0.554461510752688 1.02631709796894 0.592579098566308 0.476354032258065 0.645689655913979 2.40006287873357 1.06188088052569 2.91188769832736 0.867235283751494 2.6643758739546 2.4811704348865 0.810192929510155 1.06780167264038 0.825007968339307 3.19267704480287 1.49787336379928 2.64709677419355 0.603958875149343 0.368483619474313 0.221373145758662 0.337404659498208 0.343314968339307 0.241108893667861 0.265141937275986 0.539941907407407 0.226148005973716 0.829816958781362 0.198662746117085 0.276128437873357 0.274753834528077 0.279496400238949 0.189271437873357 0.240287481481481 0.256873274193548 1.23231989127838 0.357888669056153 1.31454127538829 1.7767871344086 1.20829891756272 0.558063620071685 0.283047821983274 0.430909271206691 0.164717836320191 0.201307363799283 0.329198949223417 4.0789368088411 4.5275937479092 3.59692600537634 0.23627449223417 0.986288750896057 0.196457805854241 0.142088724014337 6.89370735603345 4.27553951792115 0.178545649342891 2.63927327359618 3.54330553046595 8.84600755794504 2.00158613261649 8.88137693966547 6.97614544802867 8.3658858530466 5.99743510872162 1.02611354659498 0.247188931899642 0.294902182198327 0.609873083632019 6.61646165292712 0.662439933094385 5.80473900477897 6.94867084826762 0.887432795698925 1.90457868936679 1.94221524551971 1.77738268996416 0.642181333930705 8.54685647431302 10.4596027479092 0.773387118876941 0.412985364396655 2.36521756690562 5.87209702270012 2.37797740442055 0.923932981481482 0.763456775388292 0.549259003584229 0.297702833333333 1.81185945758662 1.13940202389486 2.89891913082437 0.571897191158901 0.633316254480287 11.4467480041816 3.32767509498208 6.17194596833931 2.49946925268817 1.06251285663082 0.810548959378734 8.82194123237754 4.11939316248507 2.54358878554361
"2" "02" 0.632773860327869 0.632255028852459 1.3478631652459 4.34279941639344 6.31492349901639 0.847976084590164 0.421812100983607 0.220795996065574 0.658028199344262 0.352452558032787 0.302844285245902 0.252659731147541 0.280595207213115 0.831292161311475 0.540859016393443 0.250096788196721 0.29814629442623 0.382998152131148 0.361994123278689 0.226982331803279 0.41422610295082 1.08390865836066 0.276324561967213 0.522397954098361 0.492968204590164 1.11903930622951 1.45862790491803 1.18011865704918 1.22879596 2.80442750163934 2.61502468786885 0.836757958032787 0.555217735737705 3.10592738885246 1.52466395016393 0.417572748852459 0.298883175081967 0.212451571147541 0.837819019672131 0.377807994754098 2.54748863540984 1.18752247737705 3.85630164590164 0.37629664 0.45228102295082 0.874325525245902 0.515057007213115 0.366065564590164 0.505115879344262 1.71879897311475 0.723574356065574 2.3401635042623 0.602582979016393 2.1885217495082 1.82108536196721 0.740111717377049 0.710885245901639 0.574813121967213 2.38700507213115 1.17999179934426 2.01258196721311 0.42066749442623 0.271454138360656 0.164569996065574 0.26538064852459 0.284843669508197 0.203762867540984 0.197582717377049 0.45496645442623 0.166777931147541 0.729477193442623 0.146525723934426 0.216278297704918 0.202296305573771 0.222975533114754 0.131025178360656 0.18948083147541 0.210392443934426 0.888994270819672 0.323435624262295 1.08839008262295 1.41009239409836 0.93566857442623 0.402283606557377 0.200598013114754 0.312534939016393 0.126579275409836 0.160874275409836 0.240312732459016 2.6514105442623 3.23076105967213 2.48621219016393 0.176947790819672 0.831368418360656 0.159566743606557 0.103915538360656 4.81581550295082 2.80821318163934 0.134815567868852 2.35102434360656 2.17720313442623 5.63235141245902 1.30941549639344 6.32344641508197 4.4038373895082 5.50113042819672 4.90808696983607 0.802961554754098 0.195164836065574 0.248327736393443 0.470078616393443 4.64011176786885 0.512746079344262 4.27039848 5.1614487704918 0.641155737704918 1.50058339672131 1.64203169180328 1.41137156655738 0.527956110163934 6.88867676983607 7.87013114754098 0.597672146885246 0.329614754098361 1.71336674098361 4.01682909967213 1.78660295606557 0.753477369836066 0.641495074754098 0.471468428852459 0.221845005901639 1.3527105757377 0.83126859147541 2.18868852459016 0.481467507540984 0.514772815737705 8.66245138622951 2.71611635147541 4.52658836393443 1.84765699147541 0.856392204590164 0.69317556852459 7.51979357245902 3.27039129573771 1.95327326360656
"3" "03" 0.561058767622461 0.632611829151732 1.79240385842294 4.64533303823178 5.9162186427718 0.845775534050179 0.406117954599761 0.189025984468339 0.598284971326165 0.533757853643967 0.311205695937873 0.289722290322581 0.343595114097969 1.04967675806452 0.763861409796894 0.335280106332139 0.253049614097969 0.5291086260454 0.377730430704898 0.243260937873357 0.41502667562724 1.05476135961768 0.261980504181601 0.639306830346476 0.560160427120669 1.14444648387097 1.40452672580645 1.21912939844683 1.2557931385902 2.87300256869773 2.74127984468339 0.692701724611709 0.512282120669056 3.25324478733572 1.79410593428913 0.526373949223417 0.314258209080048 0.216768888888889 0.761389705495818 0.277353227001195 2.34855459378734 1.13097300657109 4.6099442311828 0.379696484468339 0.409735444444444 0.753311010752688 0.666487465352449 0.336688578853047 0.511303705495818 1.44217758124253 0.432853603942652 1.5900824265233 0.454529572281959 2.14528077538829 1.54709759020311 0.636012657706093 0.554301075268817 0.458026670848268 2.19116301612903 1.30068823297491 2.20253584229391 0.428543210274791 0.249535072879331 0.1385698130227 0.383223349462366 0.252963709677419 0.195353508960573 0.153518682795699 0.638081326164875 0.17965719832736 0.62957475567503 0.115038838709677 0.301321490442055 0.163439916367981 0.270568026284349 0.10193414516129 0.186056418757467 0.186730894265233 1.04717220728793 0.503251299283154 1.05304703166069 1.44321169593787 0.888642792114695 0.343993428912784 0.159467060334528 0.288929746117085 0.0935865519713262 0.125141629032258 0.202417480286738 2.75381701373955 3.2402670651135 2.45795713261649 0.141477208482676 0.664692195340502 0.125076572879331 0.070487572879331 4.50212624193548 2.72119898506571 0.0984866690561529 2.07930017264038 2.02548697729988 3.72733128136201 0.833277709677419 5.9829048297491 2.96377596594982 4.15365339247312 4.58680868100358 0.921272617682198 0.192210762246117 0.241438218637993 0.654908962962963 3.51422286081243 0.438243731780167 3.43241200179211 5.27696012544803 0.835058243727599 1.66134182676225 1.57384209199522 1.36127339665472 0.468922657706093 7.17090011827957 8.19005376344086 0.932068908602151 0.435162783751493 1.16220628494624 2.96680167682198 1.54616000358423 0.605440103345281 0.526668653524492 0.31076034348865 0.180843384109916 0.879770284946237 0.736504007168459 2.33424619175627 0.804700555555556 0.877504685782557 7.74224536200717 2.55087192473118 4.4405453823178 1.92224060752688 0.842739020908005 0.754951780167264 7.45603346774194 3.37157551075269 1.45884797729988
"4" "04" 0.877463216049383 1.14682983888889 4.06325372283951 6.96397103641975 6.77149434753086 1.30688525864198 0.793499851851852 0.363759085802469 1.75199684876543 2.40591301604938 0.697001030864198 1.0836645654321 1.36079140555556 3.8675503154321 3.31611975308642 1.63890328888889 0.315058103703704 2.4987128345679 0.963760568518519 1.01305055617284 0.791612607407407 2.85302794444444 0.865252766666667 2.44646437530864 1.89625440925926 3.04362124753086 3.31704106604938 3.28582525987654 3.47650137160494 6.6042757308642 5.41468228209877 0.917680658641975 1.26940643395062 4.56264047222222 3.54971707592593 2.71158612407407 0.760218474691358 0.667289019135803 0.756204541975309 0.302972727777778 3.09203292777778 1.6963036845679 7.21482305740741 1.26996767283951 0.981659608024691 0.665293829012346 2.89709638333333 0.915709877160494 1.37334078950617 2.13835931604938 0.536455762962963 2.00426543148148 0.737774877160494 3.04858560740741 1.93072583271605 0.500253774074074 0.965586419753086 0.723615233333333 2.91595572839506 3.65517720308642 3.62454320987654 0.902135163580247 0.4592306 0.488664150617284 1.60309608333333 0.560903840123457 0.811605034567901 0.253961130246914 2.88866070308642 1.10993141234568 0.511764997530864 0.365684988271605 1.67775067222222 0.64697497962963 1.71017193641975 0.261088144444444 0.826533379012346 0.492019875308642 2.59241602407407 2.39188652160494 2.77165243395062 2.24092966790123 1.39221552098765 0.439946913580247 0.188041285185185 0.534022082716049 0.103642213580247 0.121607012345679 0.302828277777778 6.16641639135802 4.57213430925926 4.50674343271605 0.218735102469136 0.845630284567901 0.157551666666667 0.152968029012346 5.5652317462963 5.24646393641975 0.351776616049383 1.93838509135802 4.18453703580247 5.14112851975309 1.39549169197531 7.1796118117284 3.91076231666667 5.26831420308642 3.66286534135802 2.17613629876543 0.781358024691358 0.862693322222222 1.81827896851852 4.75498035493827 0.512875160493827 4.77995726790123 7.2277449845679 1.66264660493827 2.83161065246914 2.02396708765432 1.50370448888889 0.631926878395062 7.47028884382716 11.0864351851852 3.47010288271605 2.29706018518519 1.56122331604938 4.12664721111111 2.68346798209877 0.651239870987654 0.40215020617284 0.884420796296296 0.337978861111111 1.4940140308642 1.61420227345679 4.69471064814815 3.30012787407407 3.31854497839506 8.91809375925926 3.7671459537037 6.22718914567901 2.92468898950617 1.7895868537037 1.33114962407407 6.96456332901235 4.94478193950617 1.98983568703704
"5" "05" 5.92737943309439 6.19377639247312 12.8934505597372 7.91815833094385 6.87674980107527 6.91588587156511 5.24824427479092 4.56365427240143 10.1928308494624 6.03815568817204 5.3441656702509 7.99341288530466 9.49054927299881 4.62584983213859 4.49121983273596 9.42430062903226 4.79880727180406 4.16155057168459 6.7428608781362 8.48044491636798 5.75220297968937 5.96874425567503 6.88035287873357 6.92392062664277 7.07677535782557 7.82903634169654 8.54847622759857 10.7429766194743 8.75204231003584 10.8158735681004 7.89578864934289 6.36294183393071 7.9215856135006 5.6588717962963 1.80621016487455 8.33150761827957 7.9050842962963 8.66231386618877 5.83035560215054 5.09906710035842 9.21134176403823 6.33673720250896 15.5439545991637 10.1488664151732 9.83341696953405 5.29484724014337 6.76577406810036 11.03518519773 9.65204754540024 9.93032131839905 5.18462004360812 7.41532497491039 6.26131364934289 4.93842917921147 8.83104272879331 1.72673348805257 7.95176224611709 5.69734568876942 8.84963745698925 4.65044578912784 2.51039277180406 6.00313730286738 3.94871859080048 6.34260994623656 3.72542408124253 4.50555229390681 5.43573524193548 3.17923251493429 5.49394692114695 8.05801895041816 2.14289406989247 4.87306871087216 4.35600141039427 10.3396423410992 9.52020397789725 4.81092386081243 5.67970526164875 4.28098128853047 1.51629504301075 4.94342789605735 11.7783532634409 6.75266961290323 5.40694899342891 2.52926732377539 3.30796098207885 7.40590768757467 2.05316461170848 2.37561343727599 3.53668947132617 10.6353481660693 4.20750003285544 11.1122261152927 3.32735526523297 4.11620134050179 2.20696690979689 2.18890219414576 4.85405099641577 12.774695041816 2.95471674910394 9.11645004898447 16.0302516804062 16.6224565818399 12.4583838028674 7.64595166427718 17.0814712777778 13.3442230346476 2.48214070489845 1.23302226284349 6.10285600776583 5.83117555436081 1.37852467741935 15.0471801403823 4.86292579868578 14.7843052078853 12.712367458184 7.61517323775388 12.1655081684588 10.3753210985663 10.0283930908005 8.29250918578256 7.30003381123059 15.5581093189964 2.89890481063321 6.89902927120669 9.90590871983274 15.5969550274791 10.3545110902031 3.6723174181601 3.53548586499403 8.616709869773 2.1631720400239 9.34952427299881 6.58448059557945 13.5038381123059 3.71319486260454 2.47415087574671 14.3461615471924 12.0497712317802 14.8076657634409 9.17241981780167 8.65603761111111 4.98587701612903 5.26926413739546 9.88027050537634 7.4113754265233
"6" "06" 17.3003921450617 16.0153626888889 17.8269064234568 4.76013526481482 5.30927468827161 19.0381939030864 12.8922094018519 12.7070950481481 15.0876550339506 2.59370034074074 2.56919495123457 4.59407632839506 7.81251205802469 1.18530272777778 1.14262469135802 5.93708116111111 15.2889729185185 0.869813744444444 8.5819823691358 6.29464028827161 9.69691680740741 3.1478206691358 6.43238673641975 3.9516738 5.65082432160494 5.89371384444445 5.8163824654321 7.51588182901235 5.12334425617284 5.79719555555556 3.80817535555556 14.3173521592593 6.80649511234568 3.34027229444444 0.695995372222222 3.26491365925926 8.19094160061728 8.31447881358025 17.0068731820988 16.8173340444444 12.4967932802469 13.6226268462963 19.6677860166667 9.63734860679012 14.7887654314815 20.7161449425926 2.83150896358025 13.4386316833333 9.90901925925926 19.9803443839506 20.9995429876543 10.1527720080247 17.2609304993827 3.25732957222222 16.4267645753086 15.6367124006173 12.4649691358025 12.9786460882716 10.3539357277778 1.27186960987654 0.832131172839506 12.0871584691358 9.65536358765432 5.71560565864198 1.00762409567901 8.36084862530864 3.96695677654321 10.2348494969136 1.29648548148148 5.06416758333333 12.8696801203704 7.88323714506173 1.15466575802469 9.38064970246914 4.14448095617284 9.2025688462963 4.11698865555556 8.30345062901235 0.60852567654321 1.18058467716049 7.40316218271605 8.64944444691358 8.35862990246914 11.8320941358025 10.7414160203704 20.5812573055556 3.37972140925926 5.10805457098765 8.83685227901235 4.05952864197531 1.46855967407407 9.2925697845679 6.17194652592593 9.90486680123457 2.69104072654321 2.16387737407407 2.10292739691358 8.96769577962963 2.19592271358025 25.3830253135802 15.9730515339506 18.5404289160494 26.0910238320988 4.05641974567901 25.4833760055556 15.7763295117284 1.70045180555556 0.508371943827161 4.02770154876543 3.47950885925926 0.522352871604938 22.5055218851852 21.3336515919753 22.4652830061728 11.8884162808642 16.8019675925926 24.4162753191358 25.922828704321 26.2838038598765 24.3582229419753 5.53468436296296 12.7406327160494 0.734927984567901 1.72866512345679 22.0644483382716 24.77908845 16.8417542635802 15.834824737037 15.9711810851852 18.4149553358025 12.0068827191358 18.3192087530864 16.3457265006173 15.8824672067901 0.886578347530864 0.644153430246914 12.7975381932099 19.4358916993827 18.4333250141975 15.7463034265432 17.3516913450617 12.0655510709877 3.95302240679012 12.1686715030864 14.7416253537037
"7" "07" 19.3972419062127 16.9394249074074 13.7057884647551 2.60036632078853 3.62192601612903 20.8014386158901 12.3426048823178 11.3449899659498 9.7649759916368 1.36654358602151 1.16959377718041 2.01316549522103 3.59244363142174 0.755147208482676 0.741222222222222 2.70862869354839 12.6409641272401 0.542473115292712 4.88664103942652 2.47392694922342 6.555196869773 1.54638327897252 2.54053951135006 1.81964628733572 2.53790944563919 3.24950778793309 3.22769279988053 3.59920846774194 2.60481256750299 2.59644332676225 1.73196302747909 9.52618751433692 2.56744283452808 1.77078742293907 0.581877229390681 1.67807739784946 2.53476323297491 3.39680436081243 11.0292075890084 12.6317539295102 8.40149059199522 15.2152372628435 17.0576782132616 3.36811173178017 8.49620755077658 17.075046818399 1.54438663500597 5.04824771385902 3.48354036081243 18.3330189289128 26.6437281266428 6.18563521206691 16.9661316415771 1.75583865113501 11.8784060537634 26.5112195083632 7.2537037037037 11.9207925065711 6.24045647013142 0.977894769414576 0.680939366786141 9.09534224074074 6.34713105017921 2.10582563201912 0.569419405017921 6.64903104659498 1.84794137873357 9.83542383213859 0.727112367383513 1.75686078853047 18.3522864456392 4.09091132437276 0.763220835125448 3.55009206451613 1.63433384528076 4.84260331600956 1.800078479092 6.42593759080048 0.462455181003584 0.735481176821983 3.08610858841099 5.03212591577061 6.74515804062127 17.8709817801673 7.13677842532856 14.6423599396655 1.13097716786141 1.51155971206691 4.89378400119474 2.09420483452808 1.18227406630824 5.12491896057348 2.1285911344086 7.62566182915173 0.890685986857826 0.782510784348865 1.74459277897252 4.52789879808841 0.715224894862605 25.5269710101553 8.80403874551971 12.3899993781362 22.9450871356033 3.15247451493429 21.2370603524492 12.6494282628435 1.84570866188769 0.414326737753883 1.67653311230585 1.48124050776583 0.404021900238949 20.1321372491039 26.6760188494624 20.6972263596177 8.70271430704899 19.499417562724 25.1388305681004 28.8808517676225 28.477648827957 22.9929096583035 4.57831654181601 9.37204301075269 0.613510568100358 0.949985065710872 21.6254972461171 22.2051095782557 14.7247187532855 21.5736318351255 14.7071664653525 15.5372556409797 21.0712971923536 17.129037676822 21.221018286141 12.0984748357228 0.692098149342891 0.56925243130227 9.4443478823178 18.2984041379928 15.6125057311828 16.6223072299881 17.3497635663082 14.9408165597372 3.61487233632019 10.0958021630824 16.5473371857826
"8" "08" 13.7644724689367 11.4681532610514 9.44076583632019 2.39538574970131 3.71465301792115 15.0938168452808 7.97003339008363 6.62362934886499 5.80214567084827 1.29300799402628 0.808806243727599 1.56122693847073 2.67092925448029 0.860023561529271 0.78778853046595 2.23663912365591 6.24280794623656 0.573742140979689 2.64290952329749 1.81447699880526 3.65652396953405 1.2200878339307 1.5800108864994 1.38524010394265 1.6993066135006 2.24827006571087 2.35432327837515 2.31372247968937 1.94082811887694 1.90006148267622 1.33477093249701 4.39821367980884 1.44540444563919 1.37091190800478 0.855147342293907 1.66158667682198 1.3719330167264 2.15682606033453 5.49269677479092 5.88569829868578 4.72375074432497 11.8114675364397 13.304882520908 2.16063322162485 5.36371735424134 9.94187669235365 1.57053608960573 3.40484867204301 2.07259969593787 11.615041172043 18.7239428052569 3.34484707108722 10.2131407586619 1.30444392114695 6.38616570071685 18.4616841517324 3.55355436081243 7.00181203584229 3.37388869474313 1.25686378793309 0.889332437275986 4.76037952150538 2.99102353106332 1.56370533751493 0.573466890083632 3.97900391218638 1.4866484557945 5.57034435364397 0.81721909916368 1.46428499223417 13.3660081648746 2.53905072341697 0.800722679808841 2.76670501792115 1.58776827180406 2.91749228614098 1.35790027956989 3.41949314874552 0.551448252090801 0.768281914575866 2.7851495167264 2.67927889844683 4.29468339247312 11.9339130824373 3.21472944145759 7.75284853345281 0.721793274193548 0.87449328614098 2.24981367980884 2.61220035005974 1.61066248446834 4.04710277120669 1.24071607108722 2.88742689844683 0.650466529868578 0.602058796893668 2.42982404719235 4.06255163560335 0.520421391278375 18.5298565113501 6.58163991338112 10.4529171618877 15.9942611152927 4.47971693608124 17.2831915221027 11.548402025687 2.57778624611709 0.459193933691756 1.4478756702509 1.23883495698925 0.455849486857826 16.7637775621266 21.2509836696535 17.454555651135 7.43234580346476 17.4015456989247 20.5754766792115 23.9640337586619 21.9417214086022 15.0953970221027 5.09253286738351 9.1505376344086 0.716915599761051 0.954495221027479 16.0529684444444 16.8737467473118 10.5280269109916 17.2611984928315 7.42709079808841 9.1133861995221 20.106990155914 12.6457966756272 18.7851361696535 8.42897065412186 0.708526175029869 0.595536764635603 8.25937464814815 13.9987045860215 12.212797609319 14.9732883046595 13.0939698727599 12.3521431409797 5.055102 8.0407576135006 13.0122242066906
"9" "09" 6.7828896882716 5.76194994320988 8.91406244506173 5.40122277777778 7.75965020987654 8.11891285864198 3.66860981666667 2.75890068580247 4.97781438024691 1.47800532098765 0.710249482716049 1.35316093518519 2.62499604012346 1.38270759074074 1.15413703703704 2.16289620493827 3.19126413024691 0.722154059876543 1.78766064506173 1.58533928950617 2.24016618209877 1.49949599814815 1.51720371111111 1.54711778641975 1.82472564691358 2.91436199506173 3.31572183209877 3.48508082530864 3.00725903518519 4.18287275432099 2.68872260123457 3.55900489691358 1.76935326975309 2.9341773345679 1.29201646666667 1.99023580679012 1.17687242592593 2.04642229444444 3.61355898641975 4.02150200308642 5.04145332283951 9.78000561481482 14.7925308716049 2.31124338580247 4.61614462654321 6.06125171419753 1.83219036666667 3.48556584382716 2.13229670864198 10.3962995469136 11.376050195679 4.31785926172839 6.01256973024691 2.14625067345679 6.03906555802469 8.00479423024691 3.84506172839506 4.81693414506173 4.00779268333333 1.81529269506173 1.53813117283951 3.18313567469136 1.96150401234568 1.3394607962963 0.672552656790124 2.08144698209877 1.27842870308642 2.72540263765432 1.03572258888889 1.3545804808642 5.40890443703704 1.67708785864198 0.903879883950617 2.62313179012346 1.73167151419753 1.87064656234568 1.15943665555556 1.69882289938272 0.734015200617284 0.937198635802469 3.43226111604938 2.34617329938272 2.47591654382716 4.28319938271605 1.81630160432099 4.95513321234568 0.534613513580247 0.61484037037037 1.38496287839506 4.26130770987654 2.7170030537037 5.06749229259259 0.885895033950617 1.4503313808642 0.479917469753086 0.461242325925926 4.20993721851852 5.7087408345679 0.413273527777778 11.8682310833333 7.80927134444445 12.2237899623457 11.1562388228395 6.80002017839506 15.2376959790123 12.056799508642 4.19509236358025 0.641819851234568 1.28880781666667 1.11485725185185 0.549925456790124 15.2463341759259 11.803071337037 16.1681647567901 10.709212962963 14.8328703703704 15.4953937345679 16.1164526771605 14.5679931648148 9.62774383518519 9.28019916358025 14.6560339506173 0.979681087654321 1.29654320987654 12.2002418709877 15.9193531185185 8.68777954691358 9.13908398148148 3.79167490123457 5.93932491975309 12.6745099160494 9.89035127654321 15.1854162796296 9.21144483024691 1.01903830987654 0.868139298148148 14.2874567253086 12.7724800191358 13.7180246901235 13.7001020814815 10.7478894604938 8.62506646975309 9.24620942160494 9.26304950432099 8.84301980864198
"10" "10" 4.16025805197133 3.55422084707288 6.92710509139785 6.18326877837515 8.41487206989247 4.43110759976105 1.97545925328554 1.41313810274791 3.85325082078853 1.57057301493429 0.615827854241338 1.21100693727599 2.37200950776583 1.98996578614098 1.51474432497013 1.99563951732378 2.19374617144564 0.897888421744325 1.44657667622461 1.43632976344086 1.6740298255675 1.59951393249701 1.21448626344086 1.39505222162485 1.53171940561529 2.77062691338112 3.32416879151732 3.68320532317802 3.17233112305854 5.29773607825568 3.74981883154122 3.20742442473118 1.90018054659498 4.02001920071685 1.90492831123059 2.23368521266428 1.21189623297491 1.75387737514934 2.97448123178017 2.95061464456392 5.70836591696535 7.12165543727599 14.9098526547192 2.69748677598566 3.80415599880526 4.81597951732378 2.07810460573477 3.42882317682198 2.53102160872163 10.0329591917563 8.06053496953405 5.2369358781362 4.55807336200717 3.30277908064516 7.16466649283154 4.29854418578256 4.05029868578256 3.85073676762246 5.76220492413381 2.52319019593787 2.47311081242533 2.67600154599761 1.41329345758662 1.00951863321386 0.771943063918758 1.35667787216249 1.03773856033453 1.41814690501792 1.29661613500597 1.23283786917563 2.93393324850657 1.05343347252091 0.89271936260454 2.34430215292712 1.90553521684588 1.12064378793309 0.996745608721625 1.10988118578256 1.07858074551971 1.11192797491039 4.41205925388292 3.18997004599761 2.39520674313023 2.66935931899642 1.48160378554361 4.38073634169654 0.451121628434887 0.495292565113501 1.16336482497013 6.31436614635603 4.2822870167264 6.94418181063321 0.736392929510155 1.78382694026284 0.403060240143369 0.381648685782557 6.27378602389486 7.92378134229391 0.332763345280765 10.6744318960573 10.0926679080048 15.1009764731183 12.0082396123059 9.16182794145759 17.5554195692951 14.5127938112306 5.39159824432497 0.921928132616488 1.12769604778973 0.979635934289128 0.648173267622461 15.5415132419355 8.22335590023895 16.2049742610514 11.7743484916368 10.1870967741935 13.1547812783752 13.3925572479092 11.6236110483871 7.27984099223417 10.3542954510155 15.7186379928315 1.2291418004779 1.6268219832736 10.6809934402628 15.5838185943847 8.30129546833931 5.9081824265233 2.42957188470729 4.83621088709677 3.93528293787336 7.79740741039427 7.53627730764636 9.36439105436081 1.35969028733572 1.17120666248507 15.020263167264 10.8826395567503 13.2895210537634 11.2865890131422 7.33556166905615 4.58955034348865 9.36141643369176 8.53378396774194 7.00247587156511
